ID,Context utterance,Target,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
11,Could you help Bob and me plan a surpise party for Meg?,What can I do?,What is the intended meaning of the target?,"['Yes. I am glad to work on the party', 'I want to do something', 'I have nothing to do', ""I don't know what to do""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Could you help Bob and me plan a surpise party for Meg?
Target sentence: What can I do?
Question: What is the intended meaning of the target?
Choices:

1. Yes. I am glad to work on the party
2. I want to do something
3. I have nothing to do
4. I don't know what to do
 The correct answer is:","[('Yes. I am glad to work on the party', 0.2949647307395935), ('I want to do something', 0.4863146245479584), ('I have nothing to do', 0.09576103091239929), (""I don't know what to do"", 0.12295959144830704)]","[('Yes. I am glad to work on the party', 0.13174231350421906), ('I want to do something', 0.09638474136590958), ('I have nothing to do', 0.048465289175510406), (""I don't know what to do"", 0.7234076261520386)]",I want to do something,I don't know what to do
12,Lets charge for another mile.,I will try. But I am running out of steam,What is the intended meaning of the target?,"['I am getting tired', ""I've lost my enthusiasm"", 'I want to go home', 'I want a steaming cup of coffee']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Lets charge for another mile.
Target sentence: I will try. But I am running out of steam
Question: What is the intended meaning of the target?
Choices:

1. I am getting tired
2. I've lost my enthusiasm
3. I want to go home
4. I want a steaming cup of coffee
 The correct answer is:","[('I am getting tired', 0.10173892974853516), (""I've lost my enthusiasm"", 0.19007334113121033), ('I want to go home', 0.12272056937217712), ('I want a steaming cup of coffee', 0.5854671001434326)]","[('I am getting tired', 0.20264755189418793), (""I've lost my enthusiasm"", 0.03308130428195), ('I want to go home', 0.40301278233528137), ('I want a steaming cup of coffee', 0.361258327960968)]",I want a steaming cup of coffee,I want to go home
13,I spent the whole weekend totally absorbed in this biography,And you still have not finished reading it,What is the intended meaning of the target?,"['it must be very long', 'You are still reading', 'You are a slow reader', 'You are not enjoying your reading']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: I spent the whole weekend totally absorbed in this biography
Target sentence: And you still have not finished reading it
Question: What is the intended meaning of the target?
Choices:

1. it must be very long
2. You are still reading
3. You are a slow reader
4. You are not enjoying your reading
 The correct answer is:","[('it must be very long', 0.17761261761188507), ('You are still reading', 0.4828011393547058), ('You are a slow reader', 0.2012614607810974), ('You are not enjoying your reading', 0.13832484185695648)]","[('it must be very long', 0.1914016753435135), ('You are still reading', 0.1798052191734314), ('You are a slow reader', 0.5538390874862671), ('You are not enjoying your reading', 0.07495396584272385)]",You are still reading,You are a slow reader
14, I can’t seem to find my photo album,I think Mary is looking at it in the living room,What is the intended meaning of the target?,"['the photo album is in the living room', 'Mary is in the living room', 'Mary is watching television', 'Mary is sleeping on the sofa']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance:  I can’t seem to find my photo album
Target sentence: I think Mary is looking at it in the living room
Question: What is the intended meaning of the target?
Choices:

1. the photo album is in the living room
2. Mary is in the living room
3. Mary is watching television
4. Mary is sleeping on the sofa
 The correct answer is:","[('the photo album is in the living room', 0.36717942357063293), ('Mary is in the living room', 0.3044024109840393), ('Mary is watching television', 0.2092125415802002), ('Mary is sleeping on the sofa', 0.11920570582151413)]","[('the photo album is in the living room', 0.5548959970474243), ('Mary is in the living room', 0.4123636782169342), ('Mary is watching television', 0.004236683249473572), ('Mary is sleeping on the sofa', 0.02850360982120037)]",the photo album is in the living room,the photo album is in the living room
15,Did you hear that Mary turned out that job?,The hours were convenient. But it was not enough to make the ends meet,What is the intended meaning of the target?,"['Yes. Mary refused the job because of low salary.', 'It was necessary something more to make the ends meet', ""The hours weren't enough to make the ends meet"", 'There needed to be fewer hours to be convenient']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Did you hear that Mary turned out that job?
Target sentence: The hours were convenient. But it was not enough to make the ends meet
Question: What is the intended meaning of the target?
Choices:

1. Yes. Mary refused the job because of low salary.
2. It was necessary something more to make the ends meet
3. The hours weren't enough to make the ends meet
4. There needed to be fewer hours to be convenient
 The correct answer is:","[('Yes. Mary refused the job because of low salary.', 0.15862105786800385), ('It was necessary something more to make the ends meet', 0.4050530791282654), (""The hours weren't enough to make the ends meet"", 0.2963431775569916), ('There needed to be fewer hours to be convenient', 0.13998261094093323)]","[('Yes. Mary refused the job because of low salary.', 0.2522018253803253), ('It was necessary something more to make the ends meet', 0.08316732943058014), (""The hours weren't enough to make the ends meet"", 0.6340352892875671), ('There needed to be fewer hours to be convenient', 0.030595550313591957)]",It was necessary something more to make the ends meet,The hours weren't enough to make the ends meet
16,Have you had a chance to wear your new shirt yet,I have been trying to exchange it for a larger size.,What is the intended meaning of the target?,"['No. It does not fit me well', 'The size was wrong', 'The size was right', 'I wanted to buy a new one']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Have you had a chance to wear your new shirt yet
Target sentence: I have been trying to exchange it for a larger size.
Question: What is the intended meaning of the target?
Choices:

1. No. It does not fit me well
2. The size was wrong
3. The size was right
4. I wanted to buy a new one
 The correct answer is:","[('No. It does not fit me well', 0.14113108813762665), ('The size was wrong', 0.492595911026001), ('The size was right', 0.28067269921302795), ('I wanted to buy a new one', 0.08560033142566681)]","[('No. It does not fit me well', 0.43164941668510437), ('The size was wrong', 0.010806131176650524), ('The size was right', 0.003295684000477195), ('I wanted to buy a new one', 0.5542488098144531)]",The size was wrong,I wanted to buy a new one
17,Did you call Carl to the concert?,I tried several times.,What is the intended meaning of the target?,"['No. I could not reach him', 'I tried more than one time', 'I tried one time', 'I tried for a lot of time']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Did you call Carl to the concert?
Target sentence: I tried several times.
Question: What is the intended meaning of the target?
Choices:

1. No. I could not reach him
2. I tried more than one time
3. I tried one time
4. I tried for a lot of time
 The correct answer is:","[('No. I could not reach him', 0.16924799978733063), ('I tried more than one time', 0.21731871366500854), ('I tried one time', 0.554942786693573), ('I tried for a lot of time', 0.058490537106990814)]","[('No. I could not reach him', 0.40436139702796936), ('I tried more than one time', 0.21643906831741333), ('I tried one time', 0.043972261250019073), ('I tried for a lot of time', 0.335227370262146)]",I tried one time,No. I could not reach him
18,It's bad isn't it?,We should get you to the doctor.,What is the intended meaning of the target?,"['yes. It is bad', 'You need a doctor', ""You shouldn't go to the doctor on your own"", ""You shouldn't stay alone""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: It's bad isn't it?
Target sentence: We should get you to the doctor.
Question: What is the intended meaning of the target?
Choices:

1. yes. It is bad
2. You need a doctor
3. You shouldn't go to the doctor on your own
4. You shouldn't stay alone
 The correct answer is:","[('yes. It is bad', 0.19444935023784637), ('You need a doctor', 0.5989461541175842), (""You shouldn't go to the doctor on your own"", 0.125545933842659), (""You shouldn't stay alone"", 0.0810585469007492)]","[('yes. It is bad', 0.27902278304100037), ('You need a doctor', 0.04147303104400635), (""You shouldn't go to the doctor on your own"", 0.6693408489227295), (""You shouldn't stay alone"", 0.010163404047489166)]",You need a doctor,You shouldn't go to the doctor on your own
19,How does that sound?,About as bad as you smell!,What is the intended meaning of the target?,"['it does not sound good', 'You have a bad smell', 'You should worry about your smell', 'I hate your smell']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: How does that sound?
Target sentence: About as bad as you smell!
Question: What is the intended meaning of the target?
Choices:

1. it does not sound good
2. You have a bad smell
3. You should worry about your smell
4. I hate your smell
 The correct answer is:","[('it does not sound good', 0.21682865917682648), ('You have a bad smell', 0.5201449394226074), ('You should worry about your smell', 0.13151323795318604), ('I hate your smell', 0.13151323795318604)]","[('it does not sound good', 0.10215199738740921), ('You have a bad smell', 0.6872594356536865), ('You should worry about your smell', 0.1486302763223648), ('I hate your smell', 0.06195832043886185)]",You have a bad smell,You have a bad smell
20,"Hey, what kind of bread is this on the patty melt, anyway?",Look on the menu. It explains everything,What is the intended meaning of the target?,"['the kind of the bread can be obtained from the menu', 'Everything is written on the menu', 'The menu contains every explanation', 'The menu is well written']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Hey, what kind of bread is this on the patty melt, anyway?
Target sentence: Look on the menu. It explains everything
Question: What is the intended meaning of the target?
Choices:

1. the kind of the bread can be obtained from the menu
2. Everything is written on the menu
3. The menu contains every explanation
4. The menu is well written
 The correct answer is:","[('the kind of the bread can be obtained from the menu', 0.2766630947589874), ('Everything is written on the menu', 0.294506311416626), ('The menu contains every explanation', 0.3135003447532654), ('The menu is well written', 0.11533033102750778)]","[('the kind of the bread can be obtained from the menu', 0.25166597962379456), ('Everything is written on the menu', 0.5327768921852112), ('The menu contains every explanation', 0.013337808661162853), ('The menu is well written', 0.20221930742263794)]",The menu contains every explanation,Everything is written on the menu
21,How much of what you've got did you buy and how much did you steal?,Buy?   What do you mean buy?,What is the intended meaning of the target?,"['All of this is stolen', ""I'm not familiar with the meaning of buy"", ""I don't know what you mean"", ""I don't know the word buy""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: How much of what you've got did you buy and how much did you steal?
Target sentence: Buy?   What do you mean buy?
Question: What is the intended meaning of the target?
Choices:

1. All of this is stolen
2. I'm not familiar with the meaning of buy
3. I don't know what you mean
4. I don't know the word buy
 The correct answer is:","[('All of this is stolen', 0.237050861120224), (""I'm not familiar with the meaning of buy"", 0.39083078503608704), (""I don't know what you mean"", 0.237050861120224), (""I don't know the word buy"", 0.13506750762462616)]","[('All of this is stolen', 0.045886531472206116), (""I'm not familiar with the meaning of buy"", 0.1208949089050293), (""I don't know what you mean"", 0.7761118412017822), (""I don't know the word buy"", 0.057106710970401764)]",I'm not familiar with the meaning of buy,I don't know what you mean
22,"and I put my arm around you.   I want to hold you, okay?",You're too ugly,What is the intended meaning of the target?,"['No. I dont want you to hold me', 'I think you are ugly', ""You're not beautiful"", ""I don't like you""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: and I put my arm around you.   I want to hold you, okay?
Target sentence: You're too ugly
Question: What is the intended meaning of the target?
Choices:

1. No. I dont want you to hold me
2. I think you are ugly
3. You're not beautiful
4. I don't like you
 The correct answer is:","[('No. I dont want you to hold me', 0.3860366940498352), ('I think you are ugly', 0.3006456792354584), (""You're not beautiful"", 0.14201496541500092), (""I don't like you"", 0.17130275070667267)]","[('No. I dont want you to hold me', 0.16486552357673645), ('I think you are ugly', 0.24365545809268951), (""You're not beautiful"", 0.1897590458393097), (""I don't like you"", 0.40171992778778076)]",No. I dont want you to hold me,I don't like you
23,"Getting into trouble a little early today, aren't we Aladdin?",Trouble?   You're only in trouble if you get caught,What is the intended meaning of the target?,"['No. we are not getting into trouble', ""There's no trouble if you are not getting caught"", 'The only trouble is getting caught', ""I don't want to be caught""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Getting into trouble a little early today, aren't we Aladdin?
Target sentence: Trouble?   You're only in trouble if you get caught
Question: What is the intended meaning of the target?
Choices:

1. No. we are not getting into trouble
2. There's no trouble if you are not getting caught
3. The only trouble is getting caught
4. I don't want to be caught
 The correct answer is:","[('No. we are not getting into trouble', 0.17741550505161285), (""There's no trouble if you are not getting caught"", 0.2581380307674408), ('The only trouble is getting caught', 0.37558862566947937), (""I don't want to be caught"", 0.1888578236103058)]","[('No. we are not getting into trouble', 0.4111640155315399), (""There's no trouble if you are not getting caught"", 0.08484849333763123), ('The only trouble is getting caught', 0.09919793903827667), (""I don't want to be caught"", 0.4047895073890686)]",The only trouble is getting caught,No. we are not getting into trouble
24,What have you done?,Trust me!,What is the intended meaning of the target?,"['I have not done anything wrong', 'I want you to trust me', 'You should trust me', ""I suspect you don't trust me""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: What have you done?
Target sentence: Trust me!
Question: What is the intended meaning of the target?
Choices:

1. I have not done anything wrong
2. I want you to trust me
3. You should trust me
4. I suspect you don't trust me
 The correct answer is:","[('I have not done anything wrong', 0.10996296256780624), ('I want you to trust me', 0.5246039628982544), ('You should trust me', 0.20543785393238068), (""I suspect you don't trust me"", 0.1599951684474945)]","[('I have not done anything wrong', 0.22049742937088013), ('I want you to trust me', 0.5289458632469177), ('You should trust me', 0.0434185191988945), (""I suspect you don't trust me"", 0.20713816583156586)]",I want you to trust me,I want you to trust me
25,What are you doing here in the middle of the night?,"You're just in time for supper, dear!",What is the intended meaning of the target?,"['I was preparing supper', ""It's not late for supper"", ""It's not early for supper"", 'You have arrived at the right time']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: What are you doing here in the middle of the night?
Target sentence: You're just in time for supper, dear!
Question: What is the intended meaning of the target?
Choices:

1. I was preparing supper
2. It's not late for supper
3. It's not early for supper
4. You have arrived at the right time
 The correct answer is:","[('I was preparing supper', 0.14622469246387482), (""It's not late for supper"", 0.3733977973461151), (""It's not early for supper"", 0.05726240575313568), ('You have arrived at the right time', 0.4231151342391968)]","[('I was preparing supper', 0.014104426838457584), (""It's not late for supper"", 0.42527610063552856), (""It's not early for supper"", 0.12184364348649979), ('You have arrived at the right time', 0.43877583742141724)]",You have arrived at the right time,You have arrived at the right time
26,"You're not coming, are you?","When you make it, so will I",What is the intended meaning of the target?,"['I am coming', 'I will make it at your same time', 'If you make it, I will do the same', 'I will make it with you']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: You're not coming, are you?
Target sentence: When you make it, so will I
Question: What is the intended meaning of the target?
Choices:

1. I am coming
2. I will make it at your same time
3. If you make it, I will do the same
4. I will make it with you
 The correct answer is:","[('I am coming', 0.11774887889623642), ('I will make it at your same time', 0.3200746178627014), ('If you make it, I will do the same', 0.41098394989967346), ('I will make it with you', 0.1511925458908081)]","[('I am coming', 0.02554246410727501), ('I will make it at your same time', 0.06127318739891052), ('If you make it, I will do the same', 0.7122772932052612), ('I will make it with you', 0.20090703666210175)]","If you make it, I will do the same","If you make it, I will do the same"
27,"Dr. Nefario! Come on, you're kidding, right?",It's a great opportunity for me,What is the intended meaning of the target?,"['No. I am serious', 'I think this is a great opportunity for me', 'This is a positive opportunity', 'I think I should take this opportunity']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Dr. Nefario! Come on, you're kidding, right?
Target sentence: It's a great opportunity for me
Question: What is the intended meaning of the target?
Choices:

1. No. I am serious
2. I think this is a great opportunity for me
3. This is a positive opportunity
4. I think I should take this opportunity
 The correct answer is:","[('No. I am serious', 0.16201160848140717), ('I think this is a great opportunity for me', 0.5312156081199646), ('This is a positive opportunity', 0.13431234657764435), ('I think I should take this opportunity', 0.17246045172214508)]","[('No. I am serious', 0.04358500614762306), ('I think this is a great opportunity for me', 0.8484941720962524), ('This is a positive opportunity', 0.02124163508415222), ('I think I should take this opportunity', 0.0866791382431984)]",I think this is a great opportunity for me,I think this is a great opportunity for me
