ID,Target,Question,Choices,Human answer,Correct Answer,Context utterance,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
11,"Be careful, there is a child in the car with me",Who is the baby?,"[""I don't know"", 'My son', 'My sister', 'My dad']",,[1],He is afraid of the car,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Be careful, there is a child in the car with me
Question: Who is the baby?
Choices:

1. I don't know
2. My son
3. My sister
4. My dad
 The correct answer is:","[(""I don't know"", 0.111382856965065), ('My son', 0.6409640908241272), ('My sister', 0.1430184245109558), ('My dad', 0.10463451594114304)]","[(""I don't know"", 0.957522988319397), ('My son', 0.01699806936085224), ('My sister', 0.024732043966650963), ('My dad', 0.0007468429976142943)]",My son,I don't know
12,"Be careful, there is a child in the car with me",Who is the baby?,"['My son', ""I don't know"", 'My sister', 'My dad']",,[1],He's my son,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Be careful, there is a child in the car with me
Question: Who is the baby?
Choices:

1. My son
2. I don't know
3. My sister
4. My dad
 The correct answer is:","[('My son', 0.3879862427711487), (""I don't know"", 0.2210679054260254), ('My sister', 0.2076740860939026), ('My dad', 0.18327172100543976)]","[('My son', 0.01699806936085224), (""I don't know"", 0.957522988319397), ('My sister', 0.024732043966650963), ('My dad', 0.0007468429976142943)]",My son,I don't know
13,A music band is playing,Who is the band?,"[""I don't know"", 'My favourite band', ""My father's band"", 'The footoball team']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: A music band is playing
Question: Who is the band?
Choices:

1. I don't know
2. My favourite band
3. My father's band
4. The footoball team
 The correct answer is:","[(""I don't know"", 0.15362419188022614), ('My favourite band', 0.4175938367843628), (""My father's band"", 0.3922930955886841), ('The footoball team', 0.03648894280195236)]","[(""I don't know"", 0.9183470606803894), ('My favourite band', 0.01630261167883873), (""My father's band"", 0.041630178689956665), ('The footoball team', 0.023720161989331245)]",My favourite band,I don't know
14,A music band is playing,Which band?,"[""I don't know"", 'My favourite band', ""My father's band"", 'The footoball team']",,[1],The sound is similar to that of my favorite band,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: A music band is playing
Question: Which band?
Choices:

1. I don't know
2. My favourite band
3. My father's band
4. The footoball team
 The correct answer is:","[(""I don't know"", 0.20013482868671417), ('My favourite band', 0.3980156183242798), (""My father's band"", 0.35124754905700684), ('The footoball team', 0.0506020113825798)]","[(""I don't know"", 0.8913365602493286), ('My favourite band', 0.03678985312581062), (""My father's band"", 0.04578571394085884), ('The footoball team', 0.026087911799550056)]",My favourite band,I don't know
15,A music band is playing,Does the subject know the band?,"['My favourite band', ""I don't know"", ""My father's band"", 'The footoball team']",,[1],I just realized it's my favourite band,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: A music band is playing
Question: Does the subject know the band?
Choices:

1. My favourite band
2. I don't know
3. My father's band
4. The footoball team
 The correct answer is:","[('My favourite band', 0.21106328070163727), (""I don't know"", 0.3943181037902832), (""My father's band"", 0.28848931193351746), ('The footoball team', 0.10612928122282028)]","[('My favourite band', 0.012354354374110699), (""I don't know"", 0.9512325525283813), (""My father's band"", 0.030577322468161583), ('The footoball team', 0.005835783667862415)]",I don't know,I don't know
16,I promised to go to a concert with my sister .,What kind of concert is it?,"[""I don't know"", 'A Rock concert', 'A gospel concert', ""My sister's concert""]",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I promised to go to a concert with my sister .
Question: What kind of concert is it?
Choices:

1. I don't know
2. A Rock concert
3. A gospel concert
4. My sister's concert
 The correct answer is:","[(""I don't know"", 0.12592566013336182), ('A Rock concert', 0.3020799458026886), ('A gospel concert', 0.20761632919311523), (""My sister's concert"", 0.3643779754638672)]","[(""I don't know"", 0.8331311345100403), ('A Rock concert', 0.04279584810137749), ('A gospel concert', 0.02763107419013977), (""My sister's concert"", 0.09644193202257156)]",My sister's concert,I don't know
17,I promised to go to a concert with my sister .,What kind of concert is it?,"[""I don't know"", 'A Rock concert', 'A gospel concert', ""My sister's concert""]",,[1],I hope it's a rock concert,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I promised to go to a concert with my sister .
Question: What kind of concert is it?
Choices:

1. I don't know
2. A Rock concert
3. A gospel concert
4. My sister's concert
 The correct answer is:","[(""I don't know"", 0.12592566013336182), ('A Rock concert', 0.3020799458026886), ('A gospel concert', 0.20761632919311523), (""My sister's concert"", 0.3643779754638672)]","[(""I don't know"", 0.8331311345100403), ('A Rock concert', 0.04279584810137749), ('A gospel concert', 0.02763107419013977), (""My sister's concert"", 0.09644193202257156)]",My sister's concert,I don't know
18,I promised to go to a concert with my sister .,What kind of concert is it?,"['A gospel concert', 'A Rock concert', ""I don't know"", ""My sister's concert""]",,[1],I will attend a gospel concert for the first time,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I promised to go to a concert with my sister .
Question: What kind of concert is it?
Choices:

1. A gospel concert
2. A Rock concert
3. I don't know
4. My sister's concert
 The correct answer is:","[('A gospel concert', 0.09079273045063019), ('A Rock concert', 0.40690478682518005), (""I don't know"", 0.20460458099842072), (""My sister's concert"", 0.29769790172576904)]","[('A gospel concert', 0.02763107419013977), ('A Rock concert', 0.04279584810137749), (""I don't know"", 0.8331311345100403), (""My sister's concert"", 0.09644193202257156)]",A Rock concert,I don't know
19,I ordered a dish of about $15.,What was the name of the dish?,"[""I don't know"", 'Moussaka', 'Oysters', 'Champagne']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I ordered a dish of about $15.
Question: What was the name of the dish?
Choices:

1. I don't know
2. Moussaka
3. Oysters
4. Champagne
 The correct answer is:","[(""I don't know"", 0.13847792148590088), ('Moussaka', 0.6206149458885193), ('Oysters', 0.08399109542369843), ('Champagne', 0.1569160372018814)]","[(""I don't know"", 0.9244937896728516), ('Moussaka', 0.06490965187549591), ('Oysters', 0.010596209205687046), ('Champagne', 3.5195623127037834e-07)]",Moussaka,I don't know
20,I ordered a dish of about $15.,What was the name of the dish?,"[""I don't know"", 'Moussaka', 'Oysters', 'Champagne']",,[1],It is usually the price of the Moussaka,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I ordered a dish of about $15.
Question: What was the name of the dish?
Choices:

1. I don't know
2. Moussaka
3. Oysters
4. Champagne
 The correct answer is:","[(""I don't know"", 0.13847792148590088), ('Moussaka', 0.6206149458885193), ('Oysters', 0.08399109542369843), ('Champagne', 0.1569160372018814)]","[(""I don't know"", 0.9244937896728516), ('Moussaka', 0.06490965187549591), ('Oysters', 0.010596209205687046), ('Champagne', 3.5195623127037834e-07)]",Moussaka,I don't know
21,I ordered a dish of about $15.,What was the name of the dish?,"['Moussaka', ""I don't know"", 'Oysters', 'Champagne']",,[1],I think its name was Moussaka,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I ordered a dish of about $15.
Question: What was the name of the dish?
Choices:

1. Moussaka
2. I don't know
3. Oysters
4. Champagne
 The correct answer is:","[('Moussaka', 0.22488965094089508), (""I don't know"", 0.5742758512496948), ('Oysters', 0.06443196535110474), ('Champagne', 0.13640247285366058)]","[('Moussaka', 0.06490965187549591), (""I don't know"", 0.9244937896728516), ('Oysters', 0.010596209205687046), ('Champagne', 3.5195623127037834e-07)]",I don't know,I don't know
22,I just found a card on the ground,What kind of card was it?,"[""I don't know"", 'The library card', 'A credit card', 'A postcard']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I just found a card on the ground
Question: What kind of card was it?
Choices:

1. I don't know
2. The library card
3. A credit card
4. A postcard
 The correct answer is:","[(""I don't know"", 0.1555648148059845), ('The library card', 0.5429745316505432), ('A credit card', 0.11381364613771439), ('A postcard', 0.1876469850540161)]","[(""I don't know"", 0.7253100872039795), ('The library card', 0.007569290231913328), ('A credit card', 0.08937574177980423), ('A postcard', 0.17774488031864166)]",The library card,I don't know
23,I just found a card on the ground,What kind of card was it?,"[""I don't know"", 'The library card', 'A credit card', 'A postcard']",,[1],The card was just in front of the library,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I just found a card on the ground
Question: What kind of card was it?
Choices:

1. I don't know
2. The library card
3. A credit card
4. A postcard
 The correct answer is:","[(""I don't know"", 0.1555648148059845), ('The library card', 0.5429745316505432), ('A credit card', 0.11381364613771439), ('A postcard', 0.1876469850540161)]","[(""I don't know"", 0.7253100872039795), ('The library card', 0.007569290231913328), ('A credit card', 0.08937574177980423), ('A postcard', 0.17774488031864166)]",The library card,I don't know
24,I just found a card on the ground,What kind of card was it?,"['The library card', ""I don't know"", 'A credit card', 'A postcard']",,[1],The card had the library logo,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I just found a card on the ground
Question: What kind of card was it?
Choices:

1. The library card
2. I don't know
3. A credit card
4. A postcard
 The correct answer is:","[('The library card', 0.20580154657363892), (""I don't know"", 0.46378093957901), ('A credit card', 0.09721376746892929), ('A postcard', 0.2332037091255188)]","[('The library card', 0.007569290231913328), (""I don't know"", 0.7253100872039795), ('A credit card', 0.08937574177980423), ('A postcard', 0.17774488031864166)]",I don't know,I don't know
25,I just found a card on the ground,Whose card was it?,"[""I don't know"", 'Mine', ""My sister's"", 'Of my dog']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I just found a card on the ground
Question: Whose card was it?
Choices:

1. I don't know
2. Mine
3. My sister's
4. Of my dog
 The correct answer is:","[(""I don't know"", 0.17574459314346313), ('Mine', 0.32833412289619446), (""My sister's"", 0.24021439254283905), ('Of my dog', 0.25570687651634216)]","[(""I don't know"", 0.8432844877243042), ('Mine', 1.086063434740936e-06), (""My sister's"", 0.15599195659160614), ('Of my dog', 0.0007223860011436045)]",Mine,I don't know
26,I just found a card on the ground,Whose card was it?,"[""I don't know"", 'Mine', ""My sister's"", 'Of my dog']",,[1],It's quite similar to my library card,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I just found a card on the ground
Question: Whose card was it?
Choices:

1. I don't know
2. Mine
3. My sister's
4. Of my dog
 The correct answer is:","[(""I don't know"", 0.17574459314346313), ('Mine', 0.32833412289619446), (""My sister's"", 0.24021439254283905), ('Of my dog', 0.25570687651634216)]","[(""I don't know"", 0.8432844877243042), ('Mine', 1.086063434740936e-06), (""My sister's"", 0.15599195659160614), ('Of my dog', 0.0007223860011436045)]",Mine,I don't know
27,I just found a card on the ground,Whose card was it?,"['Mine', ""I don't know"", ""My sister's"", 'Of my dog']",,[1],It's the library card I had lost,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I just found a card on the ground
Question: Whose card was it?
Choices:

1. Mine
2. I don't know
3. My sister's
4. Of my dog
 The correct answer is:","[('Mine', 0.15040633082389832), (""I don't know"", 0.43521514534950256), (""My sister's"", 0.23295389115810394), ('Of my dog', 0.18142466247081757)]","[('Mine', 1.086063434740936e-06), (""I don't know"", 0.8432844877243042), (""My sister's"", 0.15599195659160614), ('Of my dog', 0.0007223860011436045)]",I don't know,I don't know
28,I'm looking for a gas station,What kind of gas station?,"['Any', 'American gas', 'A closed gas station', 'A gas station with bathrooms']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I'm looking for a gas station
Question: What kind of gas station?
Choices:

1. Any
2. American gas
3. A closed gas station
4. A gas station with bathrooms
 The correct answer is:","[('Any', 0.2345857322216034), ('American gas', 0.3867664933204651), ('A closed gas station', 0.20702119171619415), ('A gas station with bathrooms', 0.17162659764289856)]","[('Any', 3.836809628410265e-05), ('American gas', 0.009993861429393291), ('A closed gas station', 0.679067850112915), ('A gas station with bathrooms', 0.31089991331100464)]",American gas,A closed gas station
29,I'm looking for a gas station,What kind of gas station?,"['Any', 'American gas', 'A closed gas station', 'A gas station with bathrooms']",,[1],American gas stations are the most common,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I'm looking for a gas station
Question: What kind of gas station?
Choices:

1. Any
2. American gas
3. A closed gas station
4. A gas station with bathrooms
 The correct answer is:","[('Any', 0.2345857322216034), ('American gas', 0.3867664933204651), ('A closed gas station', 0.20702119171619415), ('A gas station with bathrooms', 0.17162659764289856)]","[('Any', 3.836809628410265e-05), ('American gas', 0.009993861429393291), ('A closed gas station', 0.679067850112915), ('A gas station with bathrooms', 0.31089991331100464)]",American gas,A closed gas station
30,I'm looking for a gas station,What kind of gas station?,"['American gas', 'Any', 'A closed gas station', 'A gas station with bathrooms']",,[1],Only American Gas sells the type of petrol I need,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I'm looking for a gas station
Question: What kind of gas station?
Choices:

1. American gas
2. Any
3. A closed gas station
4. A gas station with bathrooms
 The correct answer is:","[('American gas', 0.22684495151042938), ('Any', 0.48023077845573425), ('A closed gas station', 0.1464621126651764), ('A gas station with bathrooms', 0.1464621126651764)]","[('American gas', 0.009993861429393291), ('Any', 3.836809628410265e-05), ('A closed gas station', 0.679067850112915), ('A gas station with bathrooms', 0.31089991331100464)]",Any,A closed gas station
31,I would love to receive a gift,What kind of gift?,"['Any', 'A scarf', 'A child', 'An island']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I would love to receive a gift
Question: What kind of gift?
Choices:

1. Any
2. A scarf
3. A child
4. An island
 The correct answer is:","[('Any', 0.20405302941799164), ('A scarf', 0.4058079123497009), ('A child', 0.23122239112854004), ('An island', 0.1589166522026062)]","[('Any', 0.020953843370079994), ('A scarf', 0.5076651573181152), ('A child', 0.37141579389572144), ('An island', 0.09996519982814789)]",A scarf,A scarf
32,I would love to receive a gift,What kind of gift?,"['Any', 'A scarf', 'A child', 'An island']",,[1],You may receive a scarf,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I would love to receive a gift
Question: What kind of gift?
Choices:

1. Any
2. A scarf
3. A child
4. An island
 The correct answer is:","[('Any', 0.20405302941799164), ('A scarf', 0.4058079123497009), ('A child', 0.23122239112854004), ('An island', 0.1589166522026062)]","[('Any', 0.020953843370079994), ('A scarf', 0.5076651573181152), ('A child', 0.37141579389572144), ('An island', 0.09996519982814789)]",A scarf,A scarf
33,I would love to receive a gift,What kind of gift?,"['A scarf', 'Any', 'A child', 'An island']",,[1],It would be nice if I received a scarf,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I would love to receive a gift
Question: What kind of gift?
Choices:

1. A scarf
2. Any
3. A child
4. An island
 The correct answer is:","[('A scarf', 0.12269871681928635), ('Any', 0.485282838344574), ('A child', 0.24401552975177765), ('An island', 0.14800290763378143)]","[('A scarf', 0.5076651573181152), ('Any', 0.020953843370079994), ('A child', 0.37141579389572144), ('An island', 0.09996519982814789)]",Any,A scarf
34,There's a picture of a man in the living room,Who is the man?,"[""I don't know"", 'My great grandfather', 'Me', 'My dog']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: There's a picture of a man in the living room
Question: Who is the man?
Choices:

1. I don't know
2. My great grandfather
3. Me
4. My dog
 The correct answer is:","[(""I don't know"", 0.11977596580982208), ('My great grandfather', 0.2699193060398102), ('Me', 0.5714191794395447), ('My dog', 0.03888556361198425)]","[(""I don't know"", 0.9932221174240112), ('My great grandfather', 0.006692278198897839), ('Me', 6.496149580925703e-06), ('My dog', 7.913930312497541e-05)]",Me,I don't know
35,There's a picture of a man in the living room,Who is the man?,"[""I don't know"", 'My great grandfather', 'Me', 'My dog']",,[1],He looks a lot like me,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: There's a picture of a man in the living room
Question: Who is the man?
Choices:

1. I don't know
2. My great grandfather
3. Me
4. My dog
 The correct answer is:","[(""I don't know"", 0.11977596580982208), ('My great grandfather', 0.2699193060398102), ('Me', 0.5714191794395447), ('My dog', 0.03888556361198425)]","[(""I don't know"", 0.9932221174240112), ('My great grandfather', 0.006692278198897839), ('Me', 6.496149580925703e-06), ('My dog', 7.913930312497541e-05)]",Me,I don't know
36,There's a picture of a man in the living room,Who is the man?,"['My great grandfather', ""I don't know"", 'Me', 'My dog']",,[1],He should be my great grandfather,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: There's a picture of a man in the living room
Question: Who is the man?
Choices:

1. My great grandfather
2. I don't know
3. Me
4. My dog
 The correct answer is:","[('My great grandfather', 0.11433065682649612), (""I don't know"", 0.21359778940677643), ('Me', 0.6180656552314758), ('My dog', 0.05400597304105759)]","[('My great grandfather', 0.006692278198897839), (""I don't know"", 0.9932221174240112), ('Me', 6.496149580925703e-06), ('My dog', 7.913930312497541e-05)]",Me,I don't know
37,Can you pass me a bowl?,What kind of bowl?,"['Any', 'A coupe bowl', 'A flower vase', 'An urn of ashes']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Can you pass me a bowl?
Question: What kind of bowl?
Choices:

1. Any
2. A coupe bowl
3. A flower vase
4. An urn of ashes
 The correct answer is:","[('Any', 0.2264312207698822), ('A coupe bowl', 0.3973991572856903), ('A flower vase', 0.19982483983039856), ('An urn of ashes', 0.17634481191635132)]","[('Any', 0.0003152569697704166), ('A coupe bowl', 0.3917534649372101), ('A flower vase', 0.47254490852355957), ('An urn of ashes', 0.1353863924741745)]",A coupe bowl,A flower vase
38,Can you pass me a bowl?,What kind of bowl?,"['Any', 'A coupe bowl', 'A flower vase', 'An urn of ashes']",,[1],Do you think a coupe bowl would be better?,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Can you pass me a bowl?
Question: What kind of bowl?
Choices:

1. Any
2. A coupe bowl
3. A flower vase
4. An urn of ashes
 The correct answer is:","[('Any', 0.2264312207698822), ('A coupe bowl', 0.3973991572856903), ('A flower vase', 0.19982483983039856), ('An urn of ashes', 0.17634481191635132)]","[('Any', 0.0003152569697704166), ('A coupe bowl', 0.3917534649372101), ('A flower vase', 0.47254490852355957), ('An urn of ashes', 0.1353863924741745)]",A coupe bowl,A flower vase
39,Can you pass me a bowl?,What kind of bowl?,"['A coupe bowl', 'Any', 'A flower vase', 'An urn of ashes']",,[1],A coupe bowl would be better,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Can you pass me a bowl?
Question: What kind of bowl?
Choices:

1. A coupe bowl
2. Any
3. A flower vase
4. An urn of ashes
 The correct answer is:","[('A coupe bowl', 0.20681573450565338), ('Any', 0.5281224846839905), ('A flower vase', 0.1039934828877449), ('An urn of ashes', 0.16106826066970825)]","[('A coupe bowl', 0.3917534649372101), ('Any', 0.0003152569697704166), ('A flower vase', 0.47254490852355957), ('An urn of ashes', 0.1353863924741745)]",Any,A flower vase
