ID,Context utterance,Completions,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
11,"Elena had a horrendous coughing fit from the pollen, unlike Tanya","['Tanya was immune to allergies.', 'Tanya was susceptible to allergies.', 'Elena and Tanya are good friends.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Elena had a horrendous coughing fit from the pollen, unlike Tanya

Choices:

1. Tanya was immune to allergies.
2. Tanya was susceptible to allergies.
3. Elena and Tanya are good friends.
 The correct answer is:","[('Tanya was immune to allergies.', 0.34647127985954285), ('Tanya was susceptible to allergies.', 0.5712345838546753), ('Elena and Tanya are good friends.', 0.08229415118694305)]","[('Tanya was immune to allergies.', 0.3652511537075043), ('Tanya was susceptible to allergies.', 0.3223330080509186), ('Elena and Tanya are good friends.', 0.31241586804389954)]",Tanya was susceptible to allergies.,Tanya was immune to allergies.
12,Rebecca picked up Amy to carpool to work every day,"['Rebecca asked for some gas money.', 'Rebecca offered some gas money..', 'Rebecca and Amy love their jobs.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Rebecca picked up Amy to carpool to work every day

Choices:

1. Rebecca asked for some gas money.
2. Rebecca offered some gas money..
3. Rebecca and Amy love their jobs.
 The correct answer is:","[('Rebecca asked for some gas money.', 0.26441946625709534), ('Rebecca offered some gas money..', 0.4359540045261383), ('Rebecca and Amy love their jobs.', 0.29962652921676636)]","[('Rebecca asked for some gas money.', 0.09205010533332825), ('Rebecca offered some gas money..', 0.006879755295813084), ('Rebecca and Amy love their jobs.', 0.9010701179504395)]",Rebecca offered some gas money..,Rebecca and Amy love their jobs.
13,Joseph had to have well manicured nails for work,"['Joseph worked at a bank.', 'Joseph worked at a farm.', 'Joseph loves his work.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Joseph had to have well manicured nails for work

Choices:

1. Joseph worked at a bank.
2. Joseph worked at a farm.
3. Joseph loves his work.
 The correct answer is:","[('Joseph worked at a bank.', 0.4959526062011719), ('Joseph worked at a farm.', 0.1177990660071373), ('Joseph loves his work.', 0.38624829053878784)]","[('Joseph worked at a bank.', 0.7769176363945007), ('Joseph worked at a farm.', 0.14371532201766968), ('Joseph loves his work.', 0.07936713099479675)]",Joseph worked at a bank.,Joseph worked at a bank.
14,"While out playing golf, Dennis fell in the mud.","['Dennis had slippery shoes on.', 'Dennis had spiked shoes on.', 'Dennis loves playing golf.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: While out playing golf, Dennis fell in the mud.

Choices:

1. Dennis had slippery shoes on.
2. Dennis had spiked shoes on.
3. Dennis loves playing golf.
 The correct answer is:","[('Dennis had slippery shoes on.', 0.51157546043396), ('Dennis had spiked shoes on.', 0.11414791643619537), ('Dennis loves playing golf.', 0.37427660822868347)]","[('Dennis had slippery shoes on.', 0.3500900864601135), ('Dennis had spiked shoes on.', 0.2406131476163864), ('Dennis loves playing golf.', 0.40929678082466125)]",Dennis had slippery shoes on.,Dennis loves playing golf.
15,Jessica thought Sandstorm was the greatest song ever written.,"['She bought a ticket to the Darude rave.', 'She bought a ticket to the jazz concert.', 'Jessica likes music.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Jessica thought Sandstorm was the greatest song ever written.

Choices:

1. She bought a ticket to the Darude rave.
2. She bought a ticket to the jazz concert.
3. Jessica likes music.
 The correct answer is:","[('She bought a ticket to the Darude rave.', 0.21965549886226654), ('She bought a ticket to the jazz concert.', 0.10375791788101196), ('Jessica likes music.', 0.6765865683555603)]","[('She bought a ticket to the Darude rave.', 0.1905105859041214), ('She bought a ticket to the jazz concert.', 0.7774021625518799), ('Jessica likes music.', 0.03208721801638603)]",Jessica likes music.,She bought a ticket to the jazz concert.
16,There was more shade in the yard of Christine than there was in the yard of Victoria.,"['Christine had more plants.', 'Christine had less plants.', 'Christine and Victoria are good friends.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: There was more shade in the yard of Christine than there was in the yard of Victoria.

Choices:

1. Christine had more plants.
2. Christine had less plants.
3. Christine and Victoria are good friends.
 The correct answer is:","[('Christine had more plants.', 0.38848385214805603), ('Christine had less plants.', 0.4686009883880615), ('Christine and Victoria are good friends.', 0.14291523396968842)]","[('Christine had more plants.', 0.05668286979198456), ('Christine had less plants.', 0.02850193716585636), ('Christine and Victoria are good friends.', 0.9148151874542236)]",Christine had less plants.,Christine and Victoria are good friends.
17,Kyle loves chocolate and candy,"['Kyle loves sweet foods.', 'Kyle loves sour foods.', 'Kyle loves food.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Kyle loves chocolate and candy

Choices:

1. Kyle loves sweet foods.
2. Kyle loves sour foods.
3. Kyle loves food.
 The correct answer is:","[('Kyle loves sweet foods.', 0.7306790947914124), ('Kyle loves sour foods.', 0.05997779220342636), ('Kyle loves food.', 0.2093430757522583)]","[('Kyle loves sweet foods.', 0.1724110096693039), ('Kyle loves sour foods.', 0.40086764097213745), ('Kyle loves food.', 0.42672136425971985)]",Kyle loves sweet foods.,Kyle loves food.
18,"The lawsuit bankrupted the company, causing Megan to be let go from their job","['She felt depressed and hopeless.', 'She felt relieved and elated.', 'Megan loved her job.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The lawsuit bankrupted the company, causing Megan to be let go from their job

Choices:

1. She felt depressed and hopeless.
2. She felt relieved and elated.
3. Megan loved her job.
 The correct answer is:","[('She felt depressed and hopeless.', 0.21336759626865387), ('She felt relieved and elated.', 0.6572184562683105), ('Megan loved her job.', 0.12941399216651917)]","[('She felt depressed and hopeless.', 0.4345189332962036), ('She felt relieved and elated.', 0.36022883653640747), ('Megan loved her job.', 0.20525220036506653)]",She felt relieved and elated.,She felt depressed and hopeless.
19,They opted not to go to the dance but to the movie instead,"['The cinema seemed like a proper destination for their date.', 'The disco seemed like a proper destination for their date.', 'The movie seemed like an inappropriate destination for their date.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: They opted not to go to the dance but to the movie instead

Choices:

1. The cinema seemed like a proper destination for their date.
2. The disco seemed like a proper destination for their date.
3. The movie seemed like an inappropriate destination for their date.
 The correct answer is:","[('The cinema seemed like a proper destination for their date.', 0.28101566433906555), ('The disco seemed like a proper destination for their date.', 0.16011790931224823), ('The movie seemed like an inappropriate destination for their date.', 0.5588663816452026)]","[('The cinema seemed like a proper destination for their date.', 0.472280889749527), ('The disco seemed like a proper destination for their date.', 0.2031254917383194), ('The movie seemed like an inappropriate destination for their date.', 0.32459360361099243)]",The movie seemed like an inappropriate destination for their date.,The cinema seemed like a proper destination for their date.
20,Jason ha negato la richiesta di passaporto di Ian ,"['Jason did not provide the correct paperwork in time.', 'Jason provided the correct paperwork in time.', 'Jason and Ian are good friends.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Jason ha negato la richiesta di passaporto di Ian 

Choices:

1. Jason did not provide the correct paperwork in time.
2. Jason provided the correct paperwork in time.
3. Jason and Ian are good friends.
 The correct answer is:","[('Jason did not provide the correct paperwork in time.', 0.13892072439193726), ('Jason provided the correct paperwork in time.', 0.7994335293769836), ('Jason and Ian are good friends.', 0.06164569407701492)]","[('Jason did not provide the correct paperwork in time.', 0.27700096368789673), ('Jason provided the correct paperwork in time.', 0.0987677276134491), ('Jason and Ian are good friends.', 0.6242312788963318)]",Jason provided the correct paperwork in time.,Jason and Ian are good friends.
21,Kyle thought the temperature was too warm,"['He turned the heat down.', 'He turned the heat up.', 'Kyle wore a sweater.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Kyle thought the temperature was too warm

Choices:

1. He turned the heat down.
2. He turned the heat up.
3. Kyle wore a sweater.
 The correct answer is:","[('He turned the heat down.', 0.2666138708591461), ('He turned the heat up.', 0.2352858930826187), ('Kyle wore a sweater.', 0.49810025095939636)]","[('He turned the heat down.', 0.13274213671684265), ('He turned the heat up.', 0.10337967425584793), ('Kyle wore a sweater.', 0.7638782262802124)]",Kyle wore a sweater.,Kyle wore a sweater.
22,"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it.","['Lindsey is more likely to be British.', 'Lindsey is more likely to be American.', 'Lindsay and Rachel are good friends.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Cricket is a favorite past time of Lindsey, while Rachel has never heard of it.

Choices:

1. Lindsey is more likely to be British.
2. Lindsey is more likely to be American.
3. Lindsay and Rachel are good friends.
 The correct answer is:","[('Lindsey is more likely to be British.', 0.4313822388648987), ('Lindsey is more likely to be American.', 0.4888201355934143), ('Lindsay and Rachel are good friends.', 0.07979769259691238)]","[('Lindsey is more likely to be British.', 0.2107933610677719), ('Lindsey is more likely to be American.', 0.1980220377445221), ('Lindsay and Rachel are good friends.', 0.5911846160888672)]",Lindsey is more likely to be American.,Lindsay and Rachel are good friends.
23,Megan enjoyed summer,"['She spent much time at the beach.', 'She spent much time indoors.', 'Megan hated winter']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Megan enjoyed summer

Choices:

1. She spent much time at the beach.
2. She spent much time indoors.
3. Megan hated winter
 The correct answer is:","[('She spent much time at the beach.', 0.7597948908805847), ('She spent much time indoors.', 0.1695331633090973), ('Megan hated winter', 0.0706719383597374)]","[('She spent much time at the beach.', 0.9246776103973389), ('She spent much time indoors.', 0.057293955236673355), ('Megan hated winter', 0.018028343096375465)]",She spent much time at the beach.,She spent much time at the beach.
24,Matthew offered to help write a fitness plan for Christopher,"['Christofer was out of shape.', 'Christofer was a personal trainer.', 'Christofer hates the gim']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Matthew offered to help write a fitness plan for Christopher

Choices:

1. Christofer was out of shape.
2. Christofer was a personal trainer.
3. Christofer hates the gim
 The correct answer is:","[('Christofer was out of shape.', 0.27675342559814453), ('Christofer was a personal trainer.', 0.4286440908908844), ('Christofer hates the gim', 0.29460248351097107)]","[('Christofer was out of shape.', 0.35972610116004944), ('Christofer was a personal trainer.', 0.5930880904197693), ('Christofer hates the gim', 0.04718579351902008)]",Christofer was a personal trainer.,Christofer was a personal trainer.
25,"Avid bookworms, Lawrence read fiction while Jason read non-fiction","['Lawrence liked to escape into an imaginary world.', 'Lawrence struggled to escape into an imaginary world.', 'Lawrence and Jason are good friends']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Avid bookworms, Lawrence read fiction while Jason read non-fiction

Choices:

1. Lawrence liked to escape into an imaginary world.
2. Lawrence struggled to escape into an imaginary world.
3. Lawrence and Jason are good friends
 The correct answer is:","[('Lawrence liked to escape into an imaginary world.', 0.44753798842430115), ('Lawrence struggled to escape into an imaginary world.', 0.3274258077144623), ('Lawrence and Jason are good friends', 0.22503623366355896)]","[('Lawrence liked to escape into an imaginary world.', 0.2355201244354248), ('Lawrence struggled to escape into an imaginary world.', 0.13419532775878906), ('Lawrence and Jason are good friends', 0.6302845478057861)]",Lawrence liked to escape into an imaginary world.,Lawrence and Jason are good friends
26,Donald didn't like to keep clean the way Matthew did,"['Matthew tended to smell nice.', 'Matthew tended to smell nasty.', 'Donald and Matthew are good friends']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Donald didn't like to keep clean the way Matthew did

Choices:

1. Matthew tended to smell nice.
2. Matthew tended to smell nasty.
3. Donald and Matthew are good friends
 The correct answer is:","[('Matthew tended to smell nice.', 0.32274162769317627), ('Matthew tended to smell nasty.', 0.23612283170223236), ('Donald and Matthew are good friends', 0.4411354959011078)]","[('Matthew tended to smell nice.', 0.29747873544692993), ('Matthew tended to smell nasty.', 0.18042996525764465), ('Donald and Matthew are good friends', 0.5220913887023926)]",Donald and Matthew are good friends,Donald and Matthew are good friends
27,Jessica often experiences severe nausea,"['She might be pregnant.', 'She often rides big roller coasters.', 'She is healthy']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Jessica often experiences severe nausea

Choices:

1. She might be pregnant.
2. She often rides big roller coasters.
3. She is healthy
 The correct answer is:","[('She might be pregnant.', 0.2663077116012573), ('She often rides big roller coasters.', 0.2663077116012573), ('She is healthy', 0.46738457679748535)]","[('She might be pregnant.', 0.5675329566001892), ('She often rides big roller coasters.', 0.4283963441848755), ('She is healthy', 0.00407063402235508)]",She is healthy,She might be pregnant.
28,Jason was going to a job interview after being prepped by Logan.,"['Logan was proud.', 'Logan was grateful.', 'Jason and Logan are good friends']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Jason was going to a job interview after being prepped by Logan.

Choices:

1. Logan was proud.
2. Logan was grateful.
3. Jason and Logan are good friends
 The correct answer is:","[('Logan was proud.', 0.1850912719964981), ('Logan was grateful.', 0.12721124291419983), ('Jason and Logan are good friends', 0.6876974701881409)]","[('Logan was proud.', 0.02586854062974453), ('Logan was grateful.', 0.09029007703065872), ('Jason and Logan are good friends', 0.883841335773468)]",Jason and Logan are good friends,Jason and Logan are good friends
29,Mary had a better body and was more of a showoff than Emily.,"['Mary loves wearing bikinis to the beach.', 'Mary hates wearing bikinis to the beach.', 'Mary and Emmily are good friends']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Mary had a better body and was more of a showoff than Emily.

Choices:

1. Mary loves wearing bikinis to the beach.
2. Mary hates wearing bikinis to the beach.
3. Mary and Emmily are good friends
 The correct answer is:","[('Mary loves wearing bikinis to the beach.', 0.3836517333984375), ('Mary hates wearing bikinis to the beach.', 0.3836517333984375), ('Mary and Emmily are good friends', 0.2326965481042862)]","[('Mary loves wearing bikinis to the beach.', 0.515752911567688), ('Mary hates wearing bikinis to the beach.', 0.4551503360271454), ('Mary and Emmily are good friends', 0.02909678779542446)]",Mary loves wearing bikinis to the beach.,Mary loves wearing bikinis to the beach.
30,Ben had to stop driving his car or motorcycle.,"['He chose to stop the motorcycle because it was risky.', 'He chose to stop the car because it was risky.', 'Ben loves driving']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Ben had to stop driving his car or motorcycle.

Choices:

1. He chose to stop the motorcycle because it was risky.
2. He chose to stop the car because it was risky.
3. Ben loves driving
 The correct answer is:","[('He chose to stop the motorcycle because it was risky.', 0.2831884026527405), ('He chose to stop the car because it was risky.', 0.24991290271282196), ('Ben loves driving', 0.46689873933792114)]","[('He chose to stop the motorcycle because it was risky.', 0.37810081243515015), ('He chose to stop the car because it was risky.', 0.5856139659881592), ('Ben loves driving', 0.03628522902727127)]",Ben loves driving,He chose to stop the car because it was risky.
31,Kayla decided to talk to her daughter Sarah about puberty.,"['Kayla found out she had just gotten her first period.', 'Kayla said she had just gotten her first period.', 'Kayla and Sarah are good friends']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Kayla decided to talk to her daughter Sarah about puberty.

Choices:

1. Kayla found out she had just gotten her first period.
2. Kayla said she had just gotten her first period.
3. Kayla and Sarah are good friends
 The correct answer is:","[('Kayla found out she had just gotten her first period.', 0.31790000200271606), ('Kayla said she had just gotten her first period.', 0.3834606111049652), ('Kayla and Sarah are good friends', 0.2986394166946411)]","[('Kayla found out she had just gotten her first period.', 0.38445553183555603), ('Kayla said she had just gotten her first period.', 0.4784626364707947), ('Kayla and Sarah are good friends', 0.13708184659481049)]",Kayla said she had just gotten her first period.,Kayla said she had just gotten her first period.
32,"Dennis liked pop music, but Jason preferred classical music.","['Jason liked music with string instruments.', 'Jason liked music you can dance to.', 'Dennsi and Jason are good friends']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Dennis liked pop music, but Jason preferred classical music.

Choices:

1. Jason liked music with string instruments.
2. Jason liked music you can dance to.
3. Dennsi and Jason are good friends
 The correct answer is:","[('Jason liked music with string instruments.', 0.3127303719520569), ('Jason liked music you can dance to.', 0.3328997492790222), ('Dennsi and Jason are good friends', 0.3543699383735657)]","[('Jason liked music with string instruments.', 0.30318278074264526), ('Jason liked music you can dance to.', 0.5664199590682983), ('Dennsi and Jason are good friends', 0.1303972750902176)]",Dennsi and Jason are good friends,Jason liked music you can dance to.
33,Katrina loves the taste of lettuce.,"['Katrina ordered a big salad for dinner.', 'Katrina ordered a meat steak for dinner.', 'Katrina loves eating']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Katrina loves the taste of lettuce.

Choices:

1. Katrina ordered a big salad for dinner.
2. Katrina ordered a meat steak for dinner.
3. Katrina loves eating
 The correct answer is:","[('Katrina ordered a big salad for dinner.', 0.7914544343948364), ('Katrina ordered a meat steak for dinner.', 0.09452575445175171), ('Katrina loves eating', 0.11401982605457306)]","[('Katrina ordered a big salad for dinner.', 0.6275618672370911), ('Katrina ordered a meat steak for dinner.', 0.3359096646308899), ('Katrina loves eating', 0.03652847930788994)]",Katrina ordered a big salad for dinner.,Katrina ordered a big salad for dinner.
34,Kevin found running the marathon easier than Dennis.,"['Kevin managed to stop smoking.', 'Kevin had repeatedly meant to stop smoking.', 'Kevin and Dennis are good friends.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Kevin found running the marathon easier than Dennis.

Choices:

1. Kevin managed to stop smoking.
2. Kevin had repeatedly meant to stop smoking.
3. Kevin and Dennis are good friends.
 The correct answer is:","[('Kevin managed to stop smoking.', 0.26090207695961), ('Kevin had repeatedly meant to stop smoking.', 0.33500489592552185), ('Kevin and Dennis are good friends.', 0.40409305691719055)]","[('Kevin managed to stop smoking.', 0.07485069334506989), ('Kevin had repeatedly meant to stop smoking.', 0.041336480528116226), ('Kevin and Dennis are good friends.', 0.8838128447532654)]",Kevin and Dennis are good friends.,Kevin and Dennis are good friends.
