ID,Context utterance,Target,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
11, Don’t you think that professor Mark’s tests are too difficult?,well I must had been. I was expecting past more than a passing grade in Biology,What is the intended meaning of the target?,"['I got a passing grade in Biology', 'I got more than a passing grade in Biology', 'I think my grade in Biology is wrong', 'I hate Biology']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance:  Don’t you think that professor Mark’s tests are too difficult?
Target sentence: well I must had been. I was expecting past more than a passing grade in Biology
Question: What is the intended meaning of the target?
Choices:

1. I got a passing grade in Biology
2. I got more than a passing grade in Biology
3. I think my grade in Biology is wrong
4. I hate Biology
 The correct answer is:","[('I got a passing grade in Biology', 0.2424338012933731), ('I got more than a passing grade in Biology', 0.5815684795379639), ('I think my grade in Biology is wrong', 0.12190337479114532), ('I hate Biology', 0.05409429594874382)]","[('I got a passing grade in Biology', 0.5695844292640686), ('I got more than a passing grade in Biology', 0.38540008664131165), ('I think my grade in Biology is wrong', 0.03474487364292145), ('I hate Biology', 0.010270564816892147)]",I got more than a passing grade in Biology,I got a passing grade in Biology
12,Lets charge for another mile.,I will try. But I am running out of steam,What is the intended meaning of the target?,"[""I've lost my enthusiasm"", 'I am full of energy', 'I want to go home', 'I want a steaming cup of coffee']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Lets charge for another mile.
Target sentence: I will try. But I am running out of steam
Question: What is the intended meaning of the target?
Choices:

1. I've lost my enthusiasm
2. I am full of energy
3. I want to go home
4. I want a steaming cup of coffee
 The correct answer is:","[(""I've lost my enthusiasm"", 0.14077286422252655), ('I am full of energy', 0.24706406891345978), ('I want to go home', 0.204823300242424), ('I want a steaming cup of coffee', 0.40733978152275085)]","[(""I've lost my enthusiasm"", 0.033492520451545715), ('I am full of energy', 0.19273614883422852), ('I want to go home', 0.4080224335193634), ('I want a steaming cup of coffee', 0.36574894189834595)]",I want a steaming cup of coffee,I want to go home
13,I spent the whole weekend totally absorbed in this biography,And you still have not finished reading it,What is the intended meaning of the target?,"['You are still reading', ""You're done reading"", 'You are a slow reader', 'You are not enjoying your reading']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: I spent the whole weekend totally absorbed in this biography
Target sentence: And you still have not finished reading it
Question: What is the intended meaning of the target?
Choices:

1. You are still reading
2. You're done reading
3. You are a slow reader
4. You are not enjoying your reading
 The correct answer is:","[('You are still reading', 0.2346777319908142), (""You're done reading"", 0.5288544297218323), ('You are a slow reader', 0.11085391044616699), ('You are not enjoying your reading', 0.12561392784118652)]","[('You are still reading', 0.1961326152086258), (""You're done reading"", 0.13907884061336517), ('You are a slow reader', 0.5855438113212585), ('You are not enjoying your reading', 0.07924473285675049)]",You're done reading,You are a slow reader
14, I can’t seem to find my photo album,I think Mary is looking at it in the living room,What is the intended meaning of the target?,"['Mary is in the living room', 'Mary is in the kitchen', 'Mary is watching television', 'Mary is sleeping on the sofa']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance:  I can’t seem to find my photo album
Target sentence: I think Mary is looking at it in the living room
Question: What is the intended meaning of the target?
Choices:

1. Mary is in the living room
2. Mary is in the kitchen
3. Mary is watching television
4. Mary is sleeping on the sofa
 The correct answer is:","[('Mary is in the living room', 0.42678943276405334), ('Mary is in the kitchen', 0.21460320055484772), ('Mary is watching television', 0.2284439355134964), ('Mary is sleeping on the sofa', 0.13016343116760254)]","[('Mary is in the living room', 0.6745256185531616), ('Mary is in the kitchen', 0.27253299951553345), ('Mary is watching television', 0.007039306685328484), ('Mary is sleeping on the sofa', 0.04590204358100891)]",Mary is in the living room,Mary is in the living room
15,Did you hear that Mary turned out that job?,The hours were convenient. But it was not enough to make the ends meet,What is the intended meaning of the target?,"['It was necessary something more to make the ends meet', ""The hours weren't enough to make the ends meet"", 'There needed to be fewer hours to be convenient', 'It was perfect to make the ends meet']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Did you hear that Mary turned out that job?
Target sentence: The hours were convenient. But it was not enough to make the ends meet
Question: What is the intended meaning of the target?
Choices:

1. It was necessary something more to make the ends meet
2. The hours weren't enough to make the ends meet
3. There needed to be fewer hours to be convenient
4. It was perfect to make the ends meet
 The correct answer is:","[('It was necessary something more to make the ends meet', 0.2579824924468994), (""The hours weren't enough to make the ends meet"", 0.5130594372749329), ('There needed to be fewer hours to be convenient', 0.11447903513908386), ('It was perfect to make the ends meet', 0.11447903513908386)]","[('It was necessary something more to make the ends meet', 0.0920637920498848), (""The hours weren't enough to make the ends meet"", 0.6909770965576172), ('There needed to be fewer hours to be convenient', 0.033868372440338135), ('It was perfect to make the ends meet', 0.1830907016992569)]",The hours weren't enough to make the ends meet,The hours weren't enough to make the ends meet
16,Have you had a chance to wear your new shirt yet,I have been trying to exchange it for a larger size.,What is the intended meaning of the target?,"['The size was wrong', 'The size was right', 'I wanted to buy a new one', 'I obtained a larger size']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Have you had a chance to wear your new shirt yet
Target sentence: I have been trying to exchange it for a larger size.
Question: What is the intended meaning of the target?
Choices:

1. The size was wrong
2. The size was right
3. I wanted to buy a new one
4. I obtained a larger size
 The correct answer is:","[('The size was wrong', 0.13176390528678894), ('The size was right', 0.38127148151397705), ('I wanted to buy a new one', 0.054927367717027664), ('I obtained a larger size', 0.43203720450401306)]","[('The size was wrong', 0.018954649567604065), ('The size was right', 0.005430597811937332), ('I wanted to buy a new one', 0.8851872682571411), ('I obtained a larger size', 0.09042757004499435)]",I obtained a larger size,I wanted to buy a new one
17,Did you call Carl to the concert?,I tried several times.,What is the intended meaning of the target?,"['I tried more than one time', 'I tried one time', 'I tried for a lot of time', 'I tried a couple of time']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Did you call Carl to the concert?
Target sentence: I tried several times.
Question: What is the intended meaning of the target?
Choices:

1. I tried more than one time
2. I tried one time
3. I tried for a lot of time
4. I tried a couple of time
 The correct answer is:","[('I tried more than one time', 0.225389763712883), ('I tried one time', 0.5755529403686523), ('I tried for a lot of time', 0.05353476479649544), ('I tried a couple of time', 0.1455225795507431)]","[('I tried more than one time', 0.24602892994880676), ('I tried one time', 0.05157046765089035), ('I tried for a lot of time', 0.4056331217288971), ('I tried a couple of time', 0.29676753282546997)]",I tried one time,I tried for a lot of time
18,It's bad isn't it?,We should get you to the doctor.,What is the intended meaning of the target?,"['You need a doctor', ""You shouldn't go to the doctor on your own"", ""You shouldn't stay alone"", ""You souldn't see a doctor""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: It's bad isn't it?
Target sentence: We should get you to the doctor.
Question: What is the intended meaning of the target?
Choices:

1. You need a doctor
2. You shouldn't go to the doctor on your own
3. You shouldn't stay alone
4. You souldn't see a doctor
 The correct answer is:","[('You need a doctor', 0.32700905203819275), (""You shouldn't go to the doctor on your own"", 0.44696834683418274), (""You shouldn't stay alone"", 0.11301129311323166), (""You souldn't see a doctor"", 0.11301129311323166)]","[('You need a doctor', 0.05466047674417496), (""You shouldn't go to the doctor on your own"", 0.8821754455566406), (""You shouldn't stay alone"", 0.013395125977694988), (""You souldn't see a doctor"", 0.04976893216371536)]",You shouldn't go to the doctor on your own,You shouldn't go to the doctor on your own
19,How does that sound?,About as bad as you smell!,What is the intended meaning of the target?,"['You have a bad smell', 'You have a good smell', 'You should worry about your smell', 'I hate your smell']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: How does that sound?
Target sentence: About as bad as you smell!
Question: What is the intended meaning of the target?
Choices:

1. You have a bad smell
2. You have a good smell
3. You should worry about your smell
4. I hate your smell
 The correct answer is:","[('You have a bad smell', 0.2859235107898712), ('You have a good smell', 0.23703892529010773), ('You should worry about your smell', 0.15304382145404816), ('I hate your smell', 0.3239937722682953)]","[('You have a bad smell', 0.6013305187225342), ('You have a good smell', 0.21441099047660828), ('You should worry about your smell', 0.13004684448242188), ('I hate your smell', 0.05421159416437149)]",I hate your smell,You have a bad smell
20,"Hey, what kind of bread is this on the patty melt, anyway?",Look on the menu. It explains everything,What is the intended meaning of the target?,"['Everything is written on the menu', 'The menu contains every explanation', 'The menu is well written', 'The menu lacks some explanation']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Hey, what kind of bread is this on the patty melt, anyway?
Target sentence: Look on the menu. It explains everything
Question: What is the intended meaning of the target?
Choices:

1. Everything is written on the menu
2. The menu contains every explanation
3. The menu is well written
4. The menu lacks some explanation
 The correct answer is:","[('Everything is written on the menu', 0.144217848777771), ('The menu contains every explanation', 0.5358343124389648), ('The menu is well written', 0.08217285573482513), ('The menu lacks some explanation', 0.2377750426530838)]","[('Everything is written on the menu', 0.682758629322052), ('The menu contains every explanation', 0.017092527821660042), ('The menu is well written', 0.25914594531059265), ('The menu lacks some explanation', 0.04100284352898598)]",The menu contains every explanation,Everything is written on the menu
21,"and I put my arm around you.   I want to hold you, okay?",You're too ugly,What is the intended meaning of the target?,"['I think you are ugly', ""You're not beautiful"", ""I don't like you"", 'I think you are beautiful']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: and I put my arm around you.   I want to hold you, okay?
Target sentence: You're too ugly
Question: What is the intended meaning of the target?
Choices:

1. I think you are ugly
2. You're not beautiful
3. I don't like you
4. I think you are beautiful
 The correct answer is:","[('I think you are ugly', 0.15130940079689026), (""You're not beautiful"", 0.16106802225112915), (""I don't like you"", 0.12543989717960358), ('I think you are beautiful', 0.562182605266571)]","[('I think you are ugly', 0.1712266355752945), (""You're not beautiful"", 0.12924863398075104), (""I don't like you"", 0.282304972410202), ('I think you are beautiful', 0.41721972823143005)]",I think you are beautiful,I think you are beautiful
22,"Getting into trouble a little early today, aren't we Aladdin?",Trouble?   You're only in trouble if you get caught,What is the intended meaning of the target?,"[""There's no trouble if you are not getting caught"", 'The only trouble is getting caught', ""I don't want to be caught"", ""We're in trouble""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Getting into trouble a little early today, aren't we Aladdin?
Target sentence: Trouble?   You're only in trouble if you get caught
Question: What is the intended meaning of the target?
Choices:

1. There's no trouble if you are not getting caught
2. The only trouble is getting caught
3. I don't want to be caught
4. We're in trouble
 The correct answer is:","[(""There's no trouble if you are not getting caught"", 0.140304833650589), ('The only trouble is getting caught', 0.6288025975227356), (""I don't want to be caught"", 0.09058760851621628), (""We're in trouble"", 0.140304833650589)]","[(""There's no trouble if you are not getting caught"", 0.14053811132907867), ('The only trouble is getting caught', 0.15925054252147675), (""I don't want to be caught"", 0.6397667527198792), (""We're in trouble"", 0.06044468656182289)]",The only trouble is getting caught,I don't want to be caught
23,What have you done?,Trust me!,What is the intended meaning of the target?,"['I want you to trust me', 'You should trust me', ""I suspect you don't trust me"", ""Don't trust me""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: What have you done?
Target sentence: Trust me!
Question: What is the intended meaning of the target?
Choices:

1. I want you to trust me
2. You should trust me
3. I suspect you don't trust me
4. Don't trust me
 The correct answer is:","[('I want you to trust me', 0.5587469339370728), ('You should trust me', 0.23292036354541779), (""I suspect you don't trust me"", 0.11711972206830978), (""Don't trust me"", 0.0912129282951355)]","[('I want you to trust me', 0.42441442608833313), ('You should trust me', 0.034838058054447174), (""I suspect you don't trust me"", 0.1662030667066574), (""Don't trust me"", 0.3745444118976593)]",I want you to trust me,I want you to trust me
24,What are you doing here in the middle of the night?,"You're just in time for supper, dear!",What is the intended meaning of the target?,"[""It's not late for supper"", ""It's early for supper"", 'You have arrived at the right time', ""It's late for supper""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: What are you doing here in the middle of the night?
Target sentence: You're just in time for supper, dear!
Question: What is the intended meaning of the target?
Choices:

1. It's not late for supper
2. It's early for supper
3. You have arrived at the right time
4. It's late for supper
 The correct answer is:","[(""It's not late for supper"", 0.12632042169570923), (""It's early for supper"", 0.11866705864667892), ('You have arrived at the right time', 0.6026410460472107), (""It's late for supper"", 0.15237151086330414)]","[(""It's not late for supper"", 0.30427637696266174), (""It's early for supper"", 0.08449450135231018), ('You have arrived at the right time', 0.3341822326183319), (""It's late for supper"", 0.277046799659729)]",You have arrived at the right time,You have arrived at the right time
25,How about if we go out to eat tonight. How about Chinese food?,Don't you think we should finish the left over?,What is the intended meaning of the target?,"['I think we should finish the left over', 'I suggest to finish the left over', 'I want to eat the left over', ""We shouldn't finish the left over""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: How about if we go out to eat tonight. How about Chinese food?
Target sentence: Don't you think we should finish the left over?
Question: What is the intended meaning of the target?
Choices:

1. I think we should finish the left over
2. I suggest to finish the left over
3. I want to eat the left over
4. We shouldn't finish the left over
 The correct answer is:","[('I think we should finish the left over', 0.4180496633052826), ('I suggest to finish the left over', 0.21020856499671936), ('I want to eat the left over', 0.1974726766347885), (""We shouldn't finish the left over"", 0.17426902055740356)]","[('I think we should finish the left over', 0.5480232238769531), ('I suggest to finish the left over', 0.11668088287115097), ('I want to eat the left over', 0.18071886897087097), (""We shouldn't finish the left over"", 0.15457704663276672)]",I think we should finish the left over,I think we should finish the left over
26,Did she present well?,She was a rock star at our last business presentation,What is the intended meaning of the target?,"['She behaved like a rock star at out last business presentation', 'She dressed up like a rock star at our last business presentation', 'She sang at our last business presentation', 'The last presentation was a disaster']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Did she present well?
Target sentence: She was a rock star at our last business presentation
Question: What is the intended meaning of the target?
Choices:

1. She behaved like a rock star at out last business presentation
2. She dressed up like a rock star at our last business presentation
3. She sang at our last business presentation
4. The last presentation was a disaster
 The correct answer is:","[('She behaved like a rock star at out last business presentation', 0.4533383250236511), ('She dressed up like a rock star at our last business presentation', 0.24265453219413757), ('She sang at our last business presentation', 0.24265453219413757), ('The last presentation was a disaster', 0.061352670192718506)]","[('She behaved like a rock star at out last business presentation', 0.3470233380794525), ('She dressed up like a rock star at our last business presentation', 0.5291473865509033), ('She sang at our last business presentation', 0.09052644670009613), ('The last presentation was a disaster', 0.03330281749367714)]",She behaved like a rock star at out last business presentation,She dressed up like a rock star at our last business presentation
27,Would you care for a drink before you order ?,A glass of Qingdao beer .,What is the intended meaning of the target?,"['I want a glass of Qingdao beer', 'I would like to drink a beer', 'My favourite beer is the Qingdao one', ""I don't like Qingdao beer""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Would you care for a drink before you order ?
Target sentence: A glass of Qingdao beer .
Question: What is the intended meaning of the target?
Choices:

1. I want a glass of Qingdao beer
2. I would like to drink a beer
3. My favourite beer is the Qingdao one
4. I don't like Qingdao beer
 The correct answer is:","[('I want a glass of Qingdao beer', 0.4012400209903717), ('I would like to drink a beer', 0.3769301176071167), ('My favourite beer is the Qingdao one', 0.1476079523563385), (""I don't like Qingdao beer"", 0.07422194629907608)]","[('I want a glass of Qingdao beer', 0.5476064682006836), ('I would like to drink a beer', 0.16187216341495514), ('My favourite beer is the Qingdao one', 0.13845659792423248), (""I don't like Qingdao beer"", 0.15206481516361237)]",I want a glass of Qingdao beer,I want a glass of Qingdao beer
28,Is Tom available please?,"He's on the other line , can you hold for a minute ?",What is the intended meaning of the target?,"['There are two lines and he is on the other one', 'He is not in this line', 'You should wait', 'There is only one line']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Is Tom available please?
Target sentence: He's on the other line , can you hold for a minute ?
Question: What is the intended meaning of the target?
Choices:

1. There are two lines and he is on the other one
2. He is not in this line
3. You should wait
4. There is only one line
 The correct answer is:","[('There are two lines and he is on the other one', 0.2476557493209839), ('He is not in this line', 0.15021079778671265), ('You should wait', 0.33850526809692383), ('There is only one line', 0.26362815499305725)]","[('There are two lines and he is on the other one', 0.7468575835227966), ('He is not in this line', 0.08249597251415253), ('You should wait', 0.0013757506385445595), ('There is only one line', 0.16927075386047363)]",You should wait,There are two lines and he is on the other one
