ID,Target,Context utterance,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
11,They were pleased with the corn,The stalks they were examining looked hearty,Who was pleased?,"['The scientists', 'The chefs', 'The farmers', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The stalks they were examining looked hearty
Target sentence: They were pleased with the corn
Question: Who was pleased?
Choices:

1. The scientists
2. The chefs
3. The farmers
4. It cannot be said
 The correct answer is:","[('The scientists', 0.3795417249202728), ('The chefs', 0.13962559401988983), ('The farmers', 0.2776786684989929), ('It cannot be said', 0.203154057264328)]","[('The scientists', 0.025901272892951965), ('The chefs', 0.003972088918089867), ('The farmers', 0.3806164264678955), ('It cannot be said', 0.5895102620124817)]",The scientists,It cannot be said
12,They were pleased with the corn,Their harvest that year looked hearty,Who was pleased?,"['The farmers', 'The chefs', 'The scientists', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Their harvest that year looked hearty
Target sentence: They were pleased with the corn
Question: Who was pleased?
Choices:

1. The farmers
2. The chefs
3. The scientists
4. It cannot be said
 The correct answer is:","[('The farmers', 0.6464924216270447), ('The chefs', 0.13551217317581177), ('The scientists', 0.174001082777977), ('It cannot be said', 0.04399435967206955)]","[('The farmers', 0.3202260434627533), ('The chefs', 0.001154915546067059), ('The scientists', 0.0007004916551522911), ('It cannot be said', 0.677918553352356)]",The farmers,It cannot be said
13,They wondered about the tin.,The cookie container was suddenly hard to find.,Who wondered?,"['The children', 'The miners', 'The chefs', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The cookie container was suddenly hard to find.
Target sentence: They wondered about the tin.
Question: Who wondered?
Choices:

1. The children
2. The miners
3. The chefs
4. It cannot be said
 The correct answer is:","[('The children', 0.31507375836372375), ('The miners', 0.2959844172000885), ('The chefs', 0.23051290214061737), ('It cannot be said', 0.15842904150485992)]","[('The children', 0.12705664336681366), ('The miners', 0.0031808004714548588), ('The chefs', 0.04124924913048744), ('It cannot be said', 0.8285133242607117)]",The children,It cannot be said
14,They wondered about the tin.,The metallic element was suddenly hard to find.,Who wondered?,"['The miners', 'The children', 'The chefs', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The metallic element was suddenly hard to find.
Target sentence: They wondered about the tin.
Question: Who wondered?
Choices:

1. The miners
2. The children
3. The chefs
4. It cannot be said
 The correct answer is:","[('The miners', 0.3849455416202545), ('The children', 0.2485395222902298), ('The chefs', 0.2334812730550766), ('It cannot be said', 0.1330336332321167)]","[('The miners', 0.4812462329864502), ('The children', 0.08902160823345184), ('The chefs', 0.030765041708946228), ('It cannot be said', 0.39896711707115173)]",The miners,The miners
15,They wondered about the tin.,They couldn't find it in the pantry and they needed the tomatoes to prepare pizza for restaurant customers.,Who wondered?,"['The chefs', 'The miners', 'The children', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: They couldn't find it in the pantry and they needed the tomatoes to prepare pizza for restaurant customers.
Target sentence: They wondered about the tin.
Question: Who wondered?
Choices:

1. The chefs
2. The miners
3. The children
4. It cannot be said
 The correct answer is:","[('The chefs', 0.40870097279548645), ('The miners', 0.2478896677494049), ('The children', 0.15035268664360046), ('It cannot be said', 0.19305665791034698)]","[('The chefs', 0.33170902729034424), ('The miners', 0.003684954484924674), ('The children', 0.04489193484187126), ('It cannot be said', 0.6197140216827393)]",The chefs,It cannot be said
16,They discussed the cotton.,The fabric wasn't what they were hoping for and it would take them another three months to make a new dress.,Who discussed?,"['The fashion designers', 'The farm owners', 'The customers', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The fabric wasn't what they were hoping for and it would take them another three months to make a new dress.
Target sentence: They discussed the cotton.
Question: Who discussed?
Choices:

1. The fashion designers
2. The farm owners
3. The customers
4. It cannot be said
 The correct answer is:","[('The fashion designers', 0.41290900111198425), ('The farm owners', 0.36439090967178345), ('The customers', 0.1183004155755043), ('It cannot be said', 0.10439974814653397)]","[('The fashion designers', 0.4937933683395386), ('The farm owners', 0.15537896752357483), ('The customers', 0.04181968793272972), ('It cannot be said', 0.30900800228118896)]",The fashion designers,The fashion designers
17,They discussed the cotton.,The crop wasn't what they were hoping for.,Who discussed?,"['The farm owners', 'The fashion designers', 'The customers', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The crop wasn't what they were hoping for.
Target sentence: They discussed the cotton.
Question: Who discussed?
Choices:

1. The farm owners
2. The fashion designers
3. The customers
4. It cannot be said
 The correct answer is:","[('The farm owners', 0.4295210540294647), ('The fashion designers', 0.22990606725215912), ('The customers', 0.24473373591899872), ('It cannot be said', 0.09583910554647446)]","[('The farm owners', 0.5841552019119263), ('The fashion designers', 0.057839199900627136), ('The customers', 0.003697536187246442), ('It cannot be said', 0.35430803894996643)]",The farm owners,The farm owners
18,They discussed the cotton.,The fabric was not what they were hoping for and they asked for a full refund of all the goods.,Who discussed?,"['The customers', 'The fashion designers', 'The farm owners', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The fabric was not what they were hoping for and they asked for a full refund of all the goods.
Target sentence: They discussed the cotton.
Question: Who discussed?
Choices:

1. The customers
2. The fashion designers
3. The farm owners
4. It cannot be said
 The correct answer is:","[('The customers', 0.3094939887523651), ('The fashion designers', 0.2731274962425232), ('The farm owners', 0.24103416502475739), ('It cannot be said', 0.1763443648815155)]","[('The customers', 0.03853365778923035), ('The fashion designers', 0.2847273647785187), ('The farm owners', 0.22174587845802307), ('It cannot be said', 0.45499300956726074)]",The customers,It cannot be said
19,They were the biggest drinkers there.,All the kindergarten Kool-aid had disappeared in a flash.,Who were the biggest drinkers?,"['The toddlers', 'The fraternity members', 'The Scottish', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: All the kindergarten Kool-aid had disappeared in a flash.
Target sentence: They were the biggest drinkers there.
Question: Who were the biggest drinkers?
Choices:

1. The toddlers
2. The fraternity members
3. The Scottish
4. It cannot be said
 The correct answer is:","[('The toddlers', 0.2180279940366745), ('The fraternity members', 0.35946738719940186), ('The Scottish', 0.2629919648170471), ('It cannot be said', 0.1595126837491989)]","[('The toddlers', 0.016859499737620354), ('The fraternity members', 0.21863731741905212), ('The Scottish', 0.0013839120510965586), ('It cannot be said', 0.7631192207336426)]",The fraternity members,It cannot be said
20,They were the biggest drinkers there.,All the fraternity scotch had disappeared in a flash.,Who were the biggest drinkers?,"['The fraternity members', 'The toddlers', 'The Scottish', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: All the fraternity scotch had disappeared in a flash.
Target sentence: They were the biggest drinkers there.
Question: Who were the biggest drinkers?
Choices:

1. The fraternity members
2. The toddlers
3. The Scottish
4. It cannot be said
 The correct answer is:","[('The fraternity members', 0.6421158909797668), ('The toddlers', 0.09847166389226913), ('The Scottish', 0.19583429396152496), ('It cannot be said', 0.06357808411121368)]","[('The fraternity members', 0.6867370009422302), ('The toddlers', 0.00040432001696899533), ('The Scottish', 0.008120984770357609), ('It cannot be said', 0.3047376871109009)]",The fraternity members,The fraternity members
21,They were the biggest drinkers there.,The Scots are famous for their beer consumption,Who were the biggest drinkers?,"['The Scottish', 'The toddlers', 'The fraternity members', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The Scots are famous for their beer consumption
Target sentence: They were the biggest drinkers there.
Question: Who were the biggest drinkers?
Choices:

1. The Scottish
2. The toddlers
3. The fraternity members
4. It cannot be said
 The correct answer is:","[('The Scottish', 0.6512460112571716), ('The toddlers', 0.10631299018859863), ('The fraternity members', 0.16466078162193298), ('It cannot be said', 0.07778024673461914)]","[('The Scottish', 0.06743773818016052), ('The toddlers', 0.00090366619406268), ('The fraternity members', 0.25056159496307373), ('It cannot be said', 0.6810970306396484)]",The Scottish,It cannot be said
22,He pondered his fortune.,His luck was tremendous.,Who pondered?,"['The gambler', 'The investor', 'The groom', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: His luck was tremendous.
Target sentence: He pondered his fortune.
Question: Who pondered?
Choices:

1. The gambler
2. The investor
3. The groom
4. It cannot be said
 The correct answer is:","[('The gambler', 0.26157891750335693), ('The investor', 0.10243577510118484), ('The groom', 0.3575359880924225), ('It cannot be said', 0.27844929695129395)]","[('The gambler', 0.6860374212265015), ('The investor', 0.0059353867545723915), ('The groom', 0.0035999941173940897), ('It cannot be said', 0.30442726612091064)]",The groom,The gambler
23,He pondered his fortune.,His wealth was tremendous.,Who pondered?,"['The investor', 'The gambler', 'The groom', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: His wealth was tremendous.
Target sentence: He pondered his fortune.
Question: Who pondered?
Choices:

1. The investor
2. The gambler
3. The groom
4. It cannot be said
 The correct answer is:","[('The investor', 0.33614417910575867), ('The gambler', 0.07500389963388443), ('The groom', 0.35782361030578613), ('It cannot be said', 0.23102828860282898)]","[('The investor', 0.045578714460134506), ('The gambler', 0.2792034447193146), ('The groom', 0.0054436009377241135), ('It cannot be said', 0.6697742938995361)]",The groom,It cannot be said
24,He pondered his fortune.,He couldn't believe he had just married such a beautiful woman.,Who pondered?,"['The groom', 'The gambler', 'The investor', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: He couldn't believe he had just married such a beautiful woman.
Target sentence: He pondered his fortune.
Question: Who pondered?
Choices:

1. The groom
2. The gambler
3. The investor
4. It cannot be said
 The correct answer is:","[('The groom', 0.5168445706367493), ('The gambler', 0.10833650827407837), ('The investor', 0.24414008855819702), ('It cannot be said', 0.13067877292633057)]","[('The groom', 0.2548550069332123), ('The gambler', 0.1281491369009018), ('The investor', 0.005630480125546455), ('It cannot be said', 0.6113653779029846)]",The groom,It cannot be said
25,She remembered the shower.,"The shampooing took only a minute, then went down to the lobby to check out.",Who was remembering the shower?,"['The guest', 'The plumber', 'The postman', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The shampooing took only a minute, then went down to the lobby to check out.
Target sentence: She remembered the shower.
Question: Who was remembering the shower?
Choices:

1. The guest
2. The plumber
3. The postman
4. It cannot be said
 The correct answer is:","[('The guest', 0.33274078369140625), ('The plumber', 0.2758517861366272), ('The postman', 0.1895899921655655), ('It cannot be said', 0.20181748270988464)]","[('The guest', 0.32198140025138855), ('The plumber', 0.013289759866893291), ('The postman', 0.32198140025138855), ('It cannot be said', 0.34274742007255554)]",The guest,It cannot be said
26,She remembered the shower.,The repair took only a minute.,Who was remembering the shower?,"['The plumber', 'The guest', 'The postman', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The repair took only a minute.
Target sentence: She remembered the shower.
Question: Who was remembering the shower?
Choices:

1. The plumber
2. The guest
3. The postman
4. It cannot be said
 The correct answer is:","[('The plumber', 0.26651251316070557), ('The guest', 0.3642793893814087), ('The postman', 0.20756015181541443), ('It cannot be said', 0.1616480052471161)]","[('The plumber', 0.2683963477611542), ('The guest', 0.020696505904197693), ('The postman', 0.2683963477611542), ('It cannot be said', 0.44251078367233276)]",The guest,It cannot be said
27,He contemplated the atmosphere.,"The cluds appeared dark and ominous, so he took out the barometer to take a reading.",Who contemplated the atmosphere?,"['The meteorologist', 'The decorator', 'The customer', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The cluds appeared dark and ominous, so he took out the barometer to take a reading.
Target sentence: He contemplated the atmosphere.
Question: Who contemplated the atmosphere?
Choices:

1. The meteorologist
2. The decorator
3. The customer
4. It cannot be said
 The correct answer is:","[('The meteorologist', 0.6429308652877808), ('The decorator', 0.14345726370811462), ('The customer', 0.12660059332847595), ('It cannot be said', 0.08701123297214508)]","[('The meteorologist', 0.8776122331619263), ('The decorator', 0.0007756567792966962), ('The customer', 0.006494494620710611), ('It cannot be said', 0.11511766910552979)]",The meteorologist,The meteorologist
28,He contemplated the atmosphere.,"The ambience appeared dark and ominous, it would take a lot of work to make it welcoming.",Who contemplated the atmosphere?,"['The decorator', 'The meteorologist', 'The customer', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The ambience appeared dark and ominous, it would take a lot of work to make it welcoming.
Target sentence: He contemplated the atmosphere.
Question: Who contemplated the atmosphere?
Choices:

1. The decorator
2. The meteorologist
3. The customer
4. It cannot be said
 The correct answer is:","[('The decorator', 0.32136377692222595), ('The meteorologist', 0.22086988389492035), ('The customer', 0.2074880599975586), ('It cannot be said', 0.2502783536911011)]","[('The decorator', 0.02077644132077694), ('The meteorologist', 0.26943299174308777), ('The customer', 0.17395901679992676), ('It cannot be said', 0.5358315110206604)]",The decorator,It cannot be said
29,She scrutinized the sign.,The speed limit was not what he had expected.,Who scrutinized the sign?,"['The driver', 'The mathematician', 'The hunter', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The speed limit was not what he had expected.
Target sentence: She scrutinized the sign.
Question: Who scrutinized the sign?
Choices:

1. The driver
2. The mathematician
3. The hunter
4. It cannot be said
 The correct answer is:","[('The driver', 0.25641757249832153), ('The mathematician', 0.42276111245155334), ('The hunter', 0.19969820976257324), ('It cannot be said', 0.12112309038639069)]","[('The driver', 0.1767836958169937), ('The mathematician', 0.12150153517723083), ('The hunter', 0.0025216839276254177), ('It cannot be said', 0.6991930603981018)]",The mathematician,It cannot be said
30,She scrutinized the sign.,The equals symbol was not what he had expected.,Who scrutinized the sign?,"['The mathematician', 'The driver', 'The hunter', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The equals symbol was not what he had expected.
Target sentence: She scrutinized the sign.
Question: Who scrutinized the sign?
Choices:

1. The mathematician
2. The driver
3. The hunter
4. It cannot be said
 The correct answer is:","[('The mathematician', 0.41563233733177185), ('The driver', 0.22247196733951569), ('The hunter', 0.208993062376976), ('It cannot be said', 0.15290260314941406)]","[('The mathematician', 0.3278600573539734), ('The driver', 0.03246254473924637), ('The hunter', 0.007710529491305351), ('It cannot be said', 0.6319668292999268)]",The mathematician,It cannot be said
31,She scrutinized the sign.,"It was definitely the trace of a wild animal, he had to start chasing it immediately.",Who scrutinized the sign?,"['The hunter', 'The driver', 'The mathematician', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: It was definitely the trace of a wild animal, he had to start chasing it immediately.
Target sentence: She scrutinized the sign.
Question: Who scrutinized the sign?
Choices:

1. The hunter
2. The driver
3. The mathematician
4. It cannot be said
 The correct answer is:","[('The hunter', 0.3358512222766876), ('The driver', 0.27843043208122253), ('The mathematician', 0.16887660324573517), ('It cannot be said', 0.21684184670448303)]","[('The hunter', 0.17042213678359985), ('The driver', 0.005831524729728699), ('The mathematician', 0.03572241961956024), ('It cannot be said', 0.7880239486694336)]",The hunter,It cannot be said
32,She inspected the glasses.,Each lens had been properly polished.,Who inspected the glasses?,"['The optometrist', 'The bartender', 'The clerk', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Each lens had been properly polished.
Target sentence: She inspected the glasses.
Question: Who inspected the glasses?
Choices:

1. The optometrist
2. The bartender
3. The clerk
4. It cannot be said
 The correct answer is:","[('The optometrist', 0.5209093689918518), ('The bartender', 0.15886838734149933), ('The clerk', 0.1800214648246765), ('It cannot be said', 0.14020085334777832)]","[('The optometrist', 0.9831925630569458), ('The bartender', 9.158891771221533e-05), ('The clerk', 0.0003196767356712371), ('It cannot be said', 0.016396287828683853)]",The optometrist,The optometrist
33,She inspected the glasses.,Each goblet had been properly polished.,Who inspected the glasses?,"['The bartender', 'The optometrist', 'The clerk', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Each goblet had been properly polished.
Target sentence: She inspected the glasses.
Question: Who inspected the glasses?
Choices:

1. The bartender
2. The optometrist
3. The clerk
4. It cannot be said
 The correct answer is:","[('The bartender', 0.2206985354423523), ('The optometrist', 0.38733798265457153), ('The clerk', 0.26621323823928833), ('It cannot be said', 0.12575022876262665)]","[('The bartender', 0.023698166012763977), ('The optometrist', 0.8619072437286377), ('The clerk', 0.0013369590742513537), ('It cannot be said', 0.11305762082338333)]",The optometrist,The optometrist
34,She inspected the glasses.,They were full of fingerprints and needed to be cleaned before the store opened.,Who inspected the glasses?,"['The clerk', 'The bartender', 'The optometrist', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: They were full of fingerprints and needed to be cleaned before the store opened.
Target sentence: She inspected the glasses.
Question: Who inspected the glasses?
Choices:

1. The clerk
2. The bartender
3. The optometrist
4. It cannot be said
 The correct answer is:","[('The clerk', 0.15762148797512054), ('The bartender', 0.31346777081489563), ('The optometrist', 0.31346777081489563), ('It cannot be said', 0.21544304490089417)]","[('The clerk', 0.0024910871870815754), ('The bartender', 0.00015924987383186817), ('The optometrist', 0.9440878629684448), ('It cannot be said', 0.05326179042458534)]",The bartender,The optometrist
35,He looked at the oak.,The tree was likely to get damaged easily. The park had to be closed to prevent accidents.,Who looked at the oak?,"['The park ranger', 'The carpenter', 'The tattoo artist', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The tree was likely to get damaged easily. The park had to be closed to prevent accidents.
Target sentence: He looked at the oak.
Question: Who looked at the oak?
Choices:

1. The park ranger
2. The carpenter
3. The tattoo artist
4. It cannot be said
 The correct answer is:","[('The park ranger', 0.6292749047279358), ('The carpenter', 0.18029028177261353), ('The tattoo artist', 0.13190318644046783), ('It cannot be said', 0.058531686663627625)]","[('The park ranger', 0.7673127055168152), ('The carpenter', 0.12140649557113647), ('The tattoo artist', 0.022457944229245186), ('It cannot be said', 0.08882289379835129)]",The park ranger,The park ranger
