ID,Context utterance,Target,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
13,Sue wanted to practice meditation so she went to the gym with her class,The girl was too busy.,Who is the girl?,"['A different girl from Sue', 'Sue', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Sue wanted to practice meditation so she went to the gym with her class
Target sentence: The girl was too busy.
Question: Who is the girl?
Choices:

1. A different girl from Sue
2. Sue
3. It cannot be said
 The correct answer is:","[('A different girl from Sue', 0.27814337611198425), ('Sue', 0.5531541705131531), ('It cannot be said', 0.16870249807834625)]","[('A different girl from Sue', 0.19140873849391937), ('Sue', 0.0027302992530167103), ('It cannot be said', 0.8058609366416931)]",Sue,It cannot be said
14,Sue wanted to practice meditation so she went to the gym with her class,The girl was too late.,Who is the girl?,"['A different girl from Sue', 'Sue', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Sue wanted to practice meditation so she went to the gym with her class
Target sentence: The girl was too late.
Question: Who is the girl?
Choices:

1. A different girl from Sue
2. Sue
3. It cannot be said
 The correct answer is:","[('A different girl from Sue', 0.290499746799469), ('Sue', 0.5098429322242737), ('It cannot be said', 0.1996573507785797)]","[('A different girl from Sue', 0.22207759320735931), ('Sue', 0.002795544220134616), ('It cannot be said', 0.7751269340515137)]",Sue,It cannot be said
15,Natalie thinks emeralds are beautiful gems. ,The woman bought a necklace featuring a big diamond.,Who is the woman?,"['A different woman from Natalie', 'Natalie', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Natalie thinks emeralds are beautiful gems. 
Target sentence: The woman bought a necklace featuring a big diamond.
Question: Who is the woman?
Choices:

1. A different woman from Natalie
2. Natalie
3. It cannot be said
 The correct answer is:","[('A different woman from Natalie', 0.3812294006347656), ('Natalie', 0.4598504602909088), ('It cannot be said', 0.1589200794696808)]","[('A different woman from Natalie', 0.09415606409311295), ('Natalie', 0.7405948042869568), ('It cannot be said', 0.1652490347623825)]",Natalie,Natalie
16,Natalie thinks emeralds are beautiful gems. ,The woman bought a necklace featuring a big emerald.,Who is the woman?,"['A different woman from Natalie', 'Natalie', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Natalie thinks emeralds are beautiful gems. 
Target sentence: The woman bought a necklace featuring a big emerald.
Question: Who is the woman?
Choices:

1. A different woman from Natalie
2. Natalie
3. It cannot be said
 The correct answer is:","[('A different woman from Natalie', 0.24838820099830627), ('Natalie', 0.6342815160751343), ('It cannot be said', 0.11733028292655945)]","[('A different woman from Natalie', 0.0771135538816452), ('Natalie', 0.7788192629814148), ('It cannot be said', 0.14406707882881165)]",Natalie,Natalie
17,Kyle loves the flavor of apricots.,The guy couldn't wait for plum season,Who is the guy?,"['A different guy from Kyle', 'Kyle', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Kyle loves the flavor of apricots.
Target sentence: The guy couldn't wait for plum season
Question: Who is the guy?
Choices:

1. A different guy from Kyle
2. Kyle
3. It cannot be said
 The correct answer is:","[('A different guy from Kyle', 0.2877883315086365), ('Kyle', 0.5376593470573425), ('It cannot be said', 0.17455242574214935)]","[('A different guy from Kyle', 0.10501769185066223), ('Kyle', 0.775981605052948), ('It cannot be said', 0.1190006360411644)]",Kyle,Kyle
18,Kyle loves the flavor of apricots.,The guy couldn't wait for apricot season.,Who is the guy?,"['A different guy from Kyle', 'Kyle', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Kyle loves the flavor of apricots.
Target sentence: The guy couldn't wait for apricot season.
Question: Who is the guy?
Choices:

1. A different guy from Kyle
2. Kyle
3. It cannot be said
 The correct answer is:","[('A different guy from Kyle', 0.2496625930070877), ('Kyle', 0.5989094376564026), ('It cannot be said', 0.1514280140399933)]","[('A different guy from Kyle', 0.15428076684474945), ('Kyle', 0.6914383769035339), ('It cannot be said', 0.15428076684474945)]",Kyle,Kyle
19,Derrick was unable to stay focused at work,The man had a fun job.,Who is the man?,"['A different man from Derrick', 'Derrick', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Derrick was unable to stay focused at work
Target sentence: The man had a fun job.
Question: Who is the man?
Choices:

1. A different man from Derrick
2. Derrick
3. It cannot be said
 The correct answer is:","[('A different man from Derrick', 0.32663494348526), ('Derrick', 0.4752510190010071), ('It cannot be said', 0.19811409711837769)]","[('A different man from Derrick', 0.13280554115772247), ('Derrick', 0.02783755213022232), ('It cannot be said', 0.8393568396568298)]",Derrick,It cannot be said
20,Derrick was unable to stay focused at work,The man had a boring job.,Who is the man?,"['A different man from Derrick', 'Derrick', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Derrick was unable to stay focused at work
Target sentence: The man had a boring job.
Question: Who is the man?
Choices:

1. A different man from Derrick
2. Derrick
3. It cannot be said
 The correct answer is:","[('A different man from Derrick', 0.26879167556762695), ('Derrick', 0.5345560908317566), ('It cannot be said', 0.19665220379829407)]","[('A different man from Derrick', 0.15665628015995026), ('Derrick', 0.04777746647596359), ('It cannot be said', 0.7955662608146667)]",Derrick,It cannot be said
21,Kayla dated many more people at once.,The girl was in an open relationship.,Who is the girl?,"['A different girl from Kayla', 'Kayla', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Kayla dated many more people at once.
Target sentence: The girl was in an open relationship.
Question: Who is the girl?
Choices:

1. A different girl from Kayla
2. Kayla
3. It cannot be said
 The correct answer is:","[('A different girl from Kayla', 0.3177972733974457), ('Kayla', 0.5577515363693237), ('It cannot be said', 0.12445119023323059)]","[('A different girl from Kayla', 0.027261843904852867), ('Kayla', 0.9610130786895752), ('It cannot be said', 0.011725172400474548)]",Kayla,Kayla
22,Kayla dated many more people at once.,The girl was in an exclusive relationship.,Who is the girl?,"['A different girl from Kayla', 'Kayla', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Kayla dated many more people at once.
Target sentence: The girl was in an exclusive relationship.
Question: Who is the girl?
Choices:

1. A different girl from Kayla
2. Kayla
3. It cannot be said
 The correct answer is:","[('A different girl from Kayla', 0.33808648586273193), ('Kayla', 0.49191293120384216), ('It cannot be said', 0.1700005680322647)]","[('A different girl from Kayla', 0.02811303734779358), ('Kayla', 0.9605283141136169), ('It cannot be said', 0.011358694173395634)]",Kayla,Kayla
23,In the lagoon Emily swam in the nude,The girl was very hesitant with showing their body.,Who is the girl?,"['A different girl from Emily', 'Emily', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: In the lagoon Emily swam in the nude
Target sentence: The girl was very hesitant with showing their body.
Question: Who is the girl?
Choices:

1. A different girl from Emily
2. Emily
3. It cannot be said
 The correct answer is:","[('A different girl from Emily', 0.1768389195203781), ('Emily', 0.657036304473877), ('It cannot be said', 0.16612479090690613)]","[('A different girl from Emily', 0.1529276967048645), ('Emily', 0.3905145525932312), ('It cannot be said', 0.4565577805042267)]",Emily,It cannot be said
24,In the lagoon Emily swam in the nude,The girl was very free with showing their body.,Who is the girl?,"['A different girl from Emily', 'Emily', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: In the lagoon Emily swam in the nude
Target sentence: The girl was very free with showing their body.
Question: Who is the girl?
Choices:

1. A different girl from Emily
2. Emily
3. It cannot be said
 The correct answer is:","[('A different girl from Emily', 0.15152059495449066), ('Emily', 0.7228643298149109), ('It cannot be said', 0.1256149858236313)]","[('A different girl from Emily', 0.13399125635623932), ('Emily', 0.4127221405506134), ('It cannot be said', 0.4532865881919861)]",Emily,It cannot be said
25,Joseph had to have well manicured nails for work,The man worked at a bank.,Who is the man?,"['A different man from Joseph', 'Joseph', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Joseph had to have well manicured nails for work
Target sentence: The man worked at a bank.
Question: Who is the man?
Choices:

1. A different man from Joseph
2. Joseph
3. It cannot be said
 The correct answer is:","[('A different man from Joseph', 0.21174664795398712), ('Joseph', 0.6127092242240906), ('It cannot be said', 0.1755441427230835)]","[('A different man from Joseph', 0.22952556610107422), ('Joseph', 0.23681148886680603), ('It cannot be said', 0.5336629152297974)]",Joseph,It cannot be said
26,Joseph had to have well manicured nails for work,The man worked at a farm.,Who is the man?,"['A different man from Joseph', 'Joseph', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Joseph had to have well manicured nails for work
Target sentence: The man worked at a farm.
Question: Who is the man?
Choices:

1. A different man from Joseph
2. Joseph
3. It cannot be said
 The correct answer is:","[('A different man from Joseph', 0.2421019822359085), ('Joseph', 0.5807724595069885), ('It cannot be said', 0.17712560296058655)]","[('A different man from Joseph', 0.20469781756401062), ('Joseph', 0.28867021203041077), ('It cannot be said', 0.5066319704055786)]",Joseph,It cannot be said
27,"While out playing golf, Dennis fell in the mud",The man had spiked shoes on.,Who is the man?,"['A different man from Dennis', 'Dennis', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: While out playing golf, Dennis fell in the mud
Target sentence: The man had spiked shoes on.
Question: Who is the man?
Choices:

1. A different man from Dennis
2. Dennis
3. It cannot be said
 The correct answer is:","[('A different man from Dennis', 0.24177764356136322), ('Dennis', 0.5448543429374695), ('It cannot be said', 0.2133680135011673)]","[('A different man from Dennis', 0.17714998126029968), ('Dennis', 0.02891894057393074), ('It cannot be said', 0.7939311265945435)]",Dennis,It cannot be said
28,"While out playing golf, Dennis fell in the mud",The man had slippery shoes on.,Who is the man?,"['A different man from Dennis', 'Dennis', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: While out playing golf, Dennis fell in the mud
Target sentence: The man had slippery shoes on.
Question: Who is the man?
Choices:

1. A different man from Dennis
2. Dennis
3. It cannot be said
 The correct answer is:","[('A different man from Dennis', 0.20434869825839996), ('Dennis', 0.5913025140762329), ('It cannot be said', 0.20434869825839996)]","[('A different man from Dennis', 0.20578187704086304), ('Dennis', 0.029645690694451332), ('It cannot be said', 0.7645724415779114)]",Dennis,It cannot be said
29,Leslie was fascinated with collecting new shoes,The woman loved fashion trends.,Who is the woman?,"['A different woman from Leslie', 'Leslie', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Leslie was fascinated with collecting new shoes
Target sentence: The woman loved fashion trends.
Question: Who is the woman?
Choices:

1. A different woman from Leslie
2. Leslie
3. It cannot be said
 The correct answer is:","[('A different woman from Leslie', 0.1597319096326828), ('Leslie', 0.7158687114715576), ('It cannot be said', 0.1243993267416954)]","[('A different woman from Leslie', 0.07136982679367065), ('Leslie', 0.059167664498090744), ('It cannot be said', 0.8694624900817871)]",Leslie,It cannot be said
30,Leslie was fascinated with collecting new shoes,The woman hated fashion trends.,Who is the woman?,"['A different woman from Leslie', 'Leslie', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Leslie was fascinated with collecting new shoes
Target sentence: The woman hated fashion trends.
Question: Who is the woman?
Choices:

1. A different woman from Leslie
2. Leslie
3. It cannot be said
 The correct answer is:","[('A different woman from Leslie', 0.23580019176006317), ('Leslie', 0.6021369099617004), ('It cannot be said', 0.16206295788288116)]","[('A different woman from Leslie', 0.07848510146141052), ('Leslie', 0.17686891555786133), ('It cannot be said', 0.7446459531784058)]",Leslie,It cannot be said
31,Jessica thought Sandstorm was the greatest song ever written,The woman bought a ticket to the jazz concert.,Who is the woman?,"['A different woman from Jessica', 'Jessica', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Jessica thought Sandstorm was the greatest song ever written
Target sentence: The woman bought a ticket to the jazz concert.
Question: Who is the woman?
Choices:

1. A different woman from Jessica
2. Jessica
3. It cannot be said
 The correct answer is:","[('A different woman from Jessica', 0.22236639261245728), ('Jessica', 0.604454517364502), ('It cannot be said', 0.17317911982536316)]","[('A different woman from Jessica', 0.20588912069797516), ('Jessica', 0.3846515119075775), ('It cannot be said', 0.4094594120979309)]",Jessica,It cannot be said
32,Jessica thought Sandstorm was the greatest song ever written,The woman bought a ticket to the Darude rave.,Who is the woman?,"['A different woman from Jessica', 'Jessica', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Jessica thought Sandstorm was the greatest song ever written
Target sentence: The woman bought a ticket to the Darude rave.
Question: Who is the woman?
Choices:

1. A different woman from Jessica
2. Jessica
3. It cannot be said
 The correct answer is:","[('A different woman from Jessica', 0.23336105048656464), ('Jessica', 0.5959083437919617), ('It cannot be said', 0.1707306057214737)]","[('A different woman from Jessica', 0.2666138708591461), ('Jessica', 0.49810025095939636), ('It cannot be said', 0.2352858930826187)]",Jessica,Jessica
33,Kyle loves chocolate and candy,The girl loves sour foods.,Who is the girl?,"['A different girl from Kyle', 'Kyle', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Kyle loves chocolate and candy
Target sentence: The girl loves sour foods.
Question: Who is the girl?
Choices:

1. A different girl from Kyle
2. Kyle
3. It cannot be said
 The correct answer is:","[('A different girl from Kyle', 0.4554433524608612), ('Kyle', 0.35469964146614075), ('It cannot be said', 0.18985703587532043)]","[('A different girl from Kyle', 0.19665221869945526), ('Kyle', 0.5345561504364014), ('It cannot be said', 0.26879170536994934)]",A different girl from Kyle,Kyle
34,Kyle loves chocolate and candy,The girl loves sweet foods.,Who is the girl?,"['A different girl from Kyle', 'Kyle', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Kyle loves chocolate and candy
Target sentence: The girl loves sweet foods.
Question: Who is the girl?
Choices:

1. A different girl from Kyle
2. Kyle
3. It cannot be said
 The correct answer is:","[('A different girl from Kyle', 0.3309946656227112), ('Kyle', 0.5126545429229736), ('It cannot be said', 0.15635080635547638)]","[('A different girl from Kyle', 0.1806616634130478), ('Kyle', 0.5564771294593811), ('It cannot be said', 0.2628611624240875)]",Kyle,Kyle
35,Samantha brought a get well card to the hospital,The girl was preoccupied.,Who is the girl?,"['A different girl from Samantha', 'Samantha', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Samantha brought a get well card to the hospital
Target sentence: The girl was preoccupied.
Question: Who is the girl?
Choices:

1. A different girl from Samantha
2. Samantha
3. It cannot be said
 The correct answer is:","[('A different girl from Samantha', 0.21991020441055298), ('Samantha', 0.5977779030799866), ('It cannot be said', 0.18231196701526642)]","[('A different girl from Samantha', 0.20150265097618103), ('Samantha', 0.177825465798378), ('It cannot be said', 0.6206718683242798)]",Samantha,It cannot be said
36,Samantha brought a get well card to the hospital,The girl was thoughtful.,Who is the girl?,"['A different girl from Samantha', 'Samantha', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Samantha brought a get well card to the hospital
Target sentence: The girl was thoughtful.
Question: Who is the girl?
Choices:

1. A different girl from Samantha
2. Samantha
3. It cannot be said
 The correct answer is:","[('A different girl from Samantha', 0.18213799595832825), ('Samantha', 0.6357240676879883), ('It cannot be said', 0.18213799595832825)]","[('A different girl from Samantha', 0.1491604894399643), ('Samantha', 0.2966410517692566), ('It cannot be said', 0.5541984438896179)]",Samantha,It cannot be said
37,Brian wanted to be a home based administrative assistant,The man liked staying at home.,Who is the man?,"['A different man from Brian', 'Brian', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Brian wanted to be a home based administrative assistant
Target sentence: The man liked staying at home.
Question: Who is the man?
Choices:

1. A different man from Brian
2. Brian
3. It cannot be said
 The correct answer is:","[('A different man from Brian', 0.21829842031002045), ('Brian', 0.6316673755645752), ('It cannot be said', 0.15003414452075958)]","[('A different man from Brian', 0.28640419244766235), ('Brian', 0.14401307702064514), ('It cannot be said', 0.5695827603340149)]",Brian,It cannot be said
38,Brian wanted to be a home based administrative assistant,The man did not like staying at home.,Who is the man?,"['A different man from Brian', 'Brian', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Brian wanted to be a home based administrative assistant
Target sentence: The man did not like staying at home.
Question: Who is the man?
Choices:

1. A different man from Brian
2. Brian
3. It cannot be said
 The correct answer is:","[('A different man from Brian', 0.27814337611198425), ('Brian', 0.5531541705131531), ('It cannot be said', 0.16870249807834625)]","[('A different man from Brian', 0.3293331265449524), ('Brian', 0.17627930641174316), ('It cannot be said', 0.49438756704330444)]",Brian,It cannot be said
